table,table_title,section,row_group,row_label,column,value
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,023 Common assault,Total,1092
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,03 Sexual offences,Acquitted,89
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,03 Sexual offences,Guilty outcome,368
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,03 Sexual offences,Total adjudicated,451
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,03 Sexual offences,Transfer to other court levels,323
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,03 Sexual offences,Withdrawn by prosecution,306
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,03 Sexual offences,Total,1087
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,031 Sexual assault of an adult,Acquitted,27
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,031 Sexual assault of an adult,Guilty outcome,67
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,031 Sexual assault of an adult,Total adjudicated,98
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,031 Sexual assault of an adult,Transfer to other court levels,82
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,031 Sexual assault of an adult,Withdrawn by prosecution,175
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,031 Sexual assault of an adult,Total,356
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,032 Sexual assault of a child,Acquitted,38
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,032 Sexual assault of a child,Guilty outcome,119
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,032 Sexual assault of a child,Total adjudicated,158
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,032 Sexual assault of a child,Transfer to other court levels,149
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,032 Sexual assault of a child,Withdrawn by prosecution,83
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,032 Sexual assault of a child,Total,393
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,033 Child procurement or grooming,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,033 Child procurement or grooming,Guilty outcome,34
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,033 Child procurement or grooming,Total adjudicated,41
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,033 Child procurement or grooming,Transfer to other court levels,33
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,033 Child procurement or grooming,Withdrawn by prosecution,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,033 Child procurement or grooming,Total,81
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,034 Child abuse material offences,Acquitted,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,034 Child abuse material offences,Guilty outcome,79
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,034 Child abuse material offences,Total adjudicated,89
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,034 Child abuse material offences,Transfer to other court levels,58
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,034 Child abuse material offences,Withdrawn by prosecution,23
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,034 Child abuse material offences,Total,166
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,035 Intimate image offences,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,035 Intimate image offences,Guilty outcome,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,035 Intimate image offences,Total adjudicated,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,035 Intimate image offences,Transfer to other court levels,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,035 Intimate image offences,Withdrawn by prosecution,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,035 Intimate image offences,Total,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,039 Other sexual offences,Acquitted,5
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,039 Other sexual offences,Guilty outcome,64
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,039 Other sexual offences,Total adjudicated,72
