STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,273846,25.35%,2.08%
VIC,262898,24.34%,2.03%
QLD,228436,21.15%,2.06%
SA,97548,9.03%,2.40%
WA,158673,14.69%,2.01%
TAS,30166,2.79%,3.80%
NT,8687,0.80%,4.60%
ACT,19935,1.85%,4.51%
TOTAL,1080189,100.00%,2.19%
