STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,262,10984,25981,32102,28847,31006,32469,161651,5.88%
VIC,497,18817,32596,33416,28128,24666,21273,159393,7.68%
QLD,472,13653,23918,26278,26488,25092,20628,136529,8.54%
SA,3323,7397,7784,8960,9125,9873,10501,56963,8.96%
WA,257,11982,18637,19105,18027,15491,12717,96216,11.88%
TAS,86,2024,2904,3327,3756,3538,2654,18289,9.27%
NT,20,689,1540,1420,963,625,258,5515,7.74%
ACT,56,1559,2841,2429,2088,1822,1306,12101,9.09%
TOTAL,4973,67105,116201,127037,117422,112113,101806,646657,7.82%
