State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,420747,22.62%,1.01%
VIC,464656,25.00%,0.53%
QLD,367587,19.78%,0.64%
SA,212446,11.43%,0.25%
WA,282436,15.19%,0.38%
TAS,55729,3.00%,0.51%
NT,13673,0.74%,0.28%
ACT,41572,2.24%,0.84%
TOTAL,1858846,100.00%,0.61%
