State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,475,9398,38592,49151,45680,46366,69133,258795,8.60%
VIC,330,16607,64361,61381,50738,44633,52315,290365,12.30%
QLD,371,10129,40781,46542,43588,40671,48742,230824,12.50%
SA,2929,14120,22382,19748,19656,19650,27559,126044,18.30%
WA,132,8631,37012,35952,32439,28722,31796,174684,17.60%
TAS,46,2096,6086,6290,6577,6757,7281,35133,16.90%
NT,8,445,2343,2137,1762,1299,776,8770,10.10%
ACT,40,1651,6241,5534,4292,3606,4074,25438,16.40%
TOTAL,4331,63077,217798,226735,204732,191704,241676,1150053,12.30%
