waste_stream,period_from,period_to,rate_aud,unit
Solid Waste Levy (Country),1994-07-01,1995-04-30,1.07,per tonne
Solid Waste Levy (Metro),1994-07-01,1995-04-30,2.07,per tonne
Solid Waste Levy (Country),1995-05-01,1995-06-30,1.17,per tonne
Solid Waste Levy (Metro),1995-05-01,1995-06-30,2.17,per tonne
Solid Waste Levy (Country),1995-07-01,1996-06-30,1.27,per tonne
Solid Waste Levy (Metro),1995-07-01,1996-06-30,2.27,per tonne
Solid Waste Levy (Country),1996-07-01,1997-06-30,1.43,per tonne
Solid Waste Levy (Metro),1996-07-01,1997-06-30,2.48,per tonne
Solid Waste Levy (Country),1997-07-01,1997-12-31,2.06,per tonne
Solid Waste Levy (Metro),1997-07-01,1997-12-31,3.08,per tonne
Solid Waste Levy (Country),1998-01-01,1998-06-30,2.17,per tonne
Solid Waste Levy (Metro),1998-01-01,1998-06-30,3.22,per tonne
Solid Waste Levy (Country),1998-07-01,1999-06-30,2.28,per tonne
Solid Waste Levy (Metro),1998-07-01,1999-06-30,4.52,per tonne
Solid Waste Levy (Country),1999-07-01,2000-06-30,2.34,per tonne
Solid Waste Levy (Metro),1999-07-01,2000-06-30,4.64,per tonne
Solid Waste Levy (Country),2000-07-01,2001-06-30,2.40,per tonne
Solid Waste Levy (Metro),2000-07-01,2001-06-30,4.76,per tonne
Solid Waste Levy (Country),2001-07-01,2002-06-30,2.46,per tonne
Solid Waste Levy (Metro),2001-07-01,2002-06-30,4.88,per tonne
Solid Waste Levy (Country),2002-07-01,2003-06-30,2.56,per tonne
Solid Waste Levy (Metro),2002-07-01,2003-06-30,5.09,per tonne
Solid Waste Levy (Country),2003-07-01,2004-06-30,5.05,per tonne
Solid Waste Levy (Metro),2003-07-01,2004-06-30,10.10,per tonne
Solid Waste Levy (Country),2004-07-01,2005-06-30,5.25,per tonne
Solid Waste Levy (Metro),2004-07-01,2005-06-30,10.50,per tonne
Solid Waste Levy (Country),2005-07-01,2006-06-30,5.40,per tonne
Solid Waste Levy (Metro),2005-07-01,2006-06-30,10.80,per tonne
Solid Waste Levy (Country),2006-07-01,2007-06-30,5.60,per tonne
Solid Waste Levy (Metro),2006-07-01,2007-06-30,11.20,per tonne
Solid Waste Levy (Country),2007-07-01,2008-06-30,11.70,per tonne
Solid Waste Levy (Metro),2007-07-01,2008-06-30,23.40,per tonne
Solid Waste Levy (Country),2008-07-01,2009-06-30,12.10,per tonne
Solid Waste Levy (Metro),2008-07-01,2009-06-30,24.20,per tonne
Solid Waste Levy (Country),2009-07-01,2010-06-30,12.60,per tonne
Solid Waste Levy (Metro),2009-07-01,2010-06-30,25.20,per tonne
Solid Waste Levy (Country),2010-07-01,2011-06-30,13.00,per tonne
Solid Waste Levy (Metro),2010-07-01,2011-06-30,26.00,per tonne
Solid Waste Levy (Country),2011-07-01,2012-06-30,17.50,per tonne
Solid Waste Levy (Metro),2011-07-01,2012-06-30,35.00,per tonne
Solid Waste Levy (Country),2012-07-01,2013-06-30,21.00,per tonne
Solid Waste Levy (Metro),2012-07-01,2013-06-30,42.00,per tonne
Solid Waste Levy (Country),2013-07-01,2014-06-30,23.50,per tonne
Solid Waste Levy (Metro),2013-07-01,2014-06-30,47.00,per tonne
Solid Waste Levy (Country),2014-07-01,2015-06-30,26.00,per tonne
Solid Waste Levy (Metro),2014-07-01,2015-06-30,52.00,per tonne
Solid Waste Levy (Country),2015-07-01,2016-06-30,28.50,per tonne
Solid Waste Levy (Metro),2015-07-01,2016-06-30,57.00,per tonne
Solid Waste Levy (Country),2016-07-01,2016-08-30,31.00,per tonne
Solid Waste Levy (Metro),2016-07-01,2016-08-30,62.00,per tonne
Solid Waste Levy (Country),2016-09-01,2017-06-30,38.00,per tonne
Solid Waste Levy (Metro),2016-09-01,2017-06-30,76.00,per tonne
Solid Waste Levy (Country),2017-07-01,2018-06-30,43.50,per tonne
Solid Waste Levy (Metro),2017-07-01,2018-06-30,87.00,per tonne
Solid Waste Levy (Country),2018-07-01,2019-06-30,50.00,per tonne
Solid Waste Levy (Metro),2018-07-01,2019-06-30,100.00,per tonne
Solid Waste Levy (Country),2019-07-01,2019-12-31,55.00,per tonne
Solid Waste Levy (Metro),2019-07-01,2019-12-31,110.00,per tonne
