surname,given_names,ballot_paper_surname,ballot_paper_given_names,council,position_contested,ward_name,position_on_ballot,standing_for_reelection,political_party_membership,elected_status
Abrahimzadeh,Arman,ABRAHIMZADEH,Arman,Adelaide,Area Councillor,,6,Yes,,Elected
Bain,Glenn Peter,BAIN,Glenn,Adelaide,Area Councillor,,3,No,Liberal Party of Australia (SA Division),Not elected
Barbaro,Francesco,BARBARO,Frank,Adelaide,Area Councillor,,2,No,,Not elected
Du,Zhigang,DU,Zhigang,Adelaide,Area Councillor,,1,No,,Not elected
Gelonese,Domenico,GELONESE,Domenico,Adelaide,Area Councillor,,7,No,Liberal Party of Australia (SA Division),Not elected
Giles,Janet,GILES,Janet,Adelaide,Area Councillor,,4,No,,Elected
Lockwood,Juliette Lorna Addison,LOCKWOOD,Juliette,Adelaide,Area Councillor,,8,No,,Not elected
Moran,Anne Vickery,MORAN,Anne,Adelaide,Area Councillor,,9,Yes,,Not elected
Patterson,Josephine,PATTERSON,Josephine,Adelaide,Area Councillor,,5,No,,Not elected
Gupta,Vivek,GUPTA,Vivek,Adelaide,Mayor,,2,No,,Not elected
Kelly,Steven,KELLY,Steven,Adelaide,Mayor,,3,No,,Not elected
Lomax-Smith,Jane Diane,LOMAX-SMITH,Jane ,Adelaide,Mayor,,4,No,Australian Labor Party (South Australian Branch),Elected
Patrick,Rex,PATRICK,Rex,Adelaide,Mayor,,1,No,,Not elected
Verschoor,Sandra Maaike,VERSCHOOR,Sandy,Adelaide,Mayor,,5,Yes,,Not elected
Ayris,Benjamin James,AYRIS,Ben,Adelaide,Ward Councillor,Central ward,12,No,,Not elected
Elliott,David John,ELLIOTT,David,Adelaide,Ward Councillor,Central ward,5,No,Australian Labor Party (South Australian Branch),Elected
Hamilton,Mark Eric,HAMILTON,Mark,Adelaide,Ward Councillor,Central ward,1,No,,Not elected
Hou,Zhuopeng,HOU,Zhuopeng (Simon),Adelaide,Ward Councillor,Central ward,7,Yes,,Elected
Hui,Sin Yee Fiona,HUI,Fiona,Adelaide,Ward Councillor,Central ward,9,No,Liberal Democratic Party,Not elected
Hyde,Alexander Campbell,HYDE,Alexander,Adelaide,Ward Councillor,Central ward,8,Yes,Liberal Party of Australia (SA Division),Not elected
Knoll,Franz,KNOLL,Franz Peter,Adelaide,Ward Councillor,Central ward,10,Yes,Liberal Party of Australia (SA Division),Not elected
Li,Jing,LI,Jing,Adelaide,Ward Councillor,Central ward,3,No,Australian Labor Party (South Australian Branch),Elected
Noon,Carmel,NOON,Carmel,Adelaide,Ward Councillor,Central ward,2,No,,Elected
Papalia,Cassandra,PAPALIA,Cassandra,Adelaide,Ward Councillor,Central ward,11,No,,Not elected
Radda,Alex,RADDA,Alex,Adelaide,Ward Councillor,Central ward,6,No,,Not elected
Sharma,Gagan,SHARMA,Gagan,Adelaide,Ward Councillor,Central ward,13,No,Liberal Party of Australia (SA Division),Not elected
Siu,Chi Fung,SIU,Hugo,Adelaide,Ward Councillor,Central ward,4,No,,Not elected
Vo,Tam,VO,Tammy,Adelaide,Ward Councillor,Central ward,14,No,,Not elected
Couros,Mary,COUROS,Mary,Adelaide,Ward Councillor,North ward,5,Yes,,Elected
Dunis,Valdis,DUNIS,Valdis,Adelaide,Ward Councillor,North ward,4,No,,Not elected
Farnan,Robert John,FARNAN,Robert,Adelaide,Ward Councillor,North ward,2,No,,Not elected
Martin,Phillip Robert,MARTIN,Phil,Adelaide,Ward Councillor,North ward,1,Yes,,Elected
Wilkinson,Alexander (Sandy) Ian,WILKINSON,Sandy,Adelaide,Ward Councillor,North ward,3,No,,Not elected
Brown,Kimberlee,BROWN,Kimberlee,Adelaide,Ward Councillor,South ward,9,No,Australian Labor Party (South Australian Branch),Not elected
Cruz,Helika,CRUZ,Helika,Adelaide,Ward Councillor,South ward,2,No,Liberal Party of Australia (SA Division),Not elected
Cullen-Macaskill,Sean,CULLEN-MACASKILL,Sean,Adelaide,Ward Councillor,South ward,6,No,Australian Greens SA,Not elected
Davis,Robert Lloyd Henry,DAVIS,Henry,Adelaide,Ward Councillor,South ward,10,No,Liberal Party of Australia (SA Division),Elected
Llewellyn-Smith,Ida Jonassen,LLEWELLYN-SMITH,Ida Jonassen,Adelaide,Ward Councillor,South ward,12,No,,Not elected
Mckay,Sue,McKAY,Sue,Adelaide,Ward Councillor,South ward,11,No,Australian Greens SA,Not elected
Ramanan,Parmeswaran,RAMANAN,Param,Adelaide,Ward Councillor,South ward,8,No,,Not elected
Scott,Timothy Luke,SCOTT,Tim,Adelaide,Ward Councillor,South ward,4,No,Liberal Party of Australia (SA Division),Not elected
Siebentritt,Mark Anthony,SIEBENTRITT,Mark ,Adelaide,Ward Councillor,South ward,1,No,Australian Labor Party (South Australian Branch),Elected
Slight,Colette Madeline,SLIGHT,Colette,Adelaide,Ward Councillor,South ward,5,No,,Not elected
Snape,Keiran John,SNAPE,Keiran,Adelaide,Ward Councillor,South ward,7,Yes,Australian Greens SA,Elected
Vlassis,Theo,VLASSIS,Theo,Adelaide,Ward Councillor,South ward,3,No,,Not elected
Wisdom-Hill,Jan-Claire,WISDOM,Jan-Claire,Adelaide Hills,Mayor,,,Yes,,Elected unopposed
Boyd,Kirrilee Amelia,BOYD,Kirrilee,Adelaide Hills,Ward Councillor,Ranges ward,10,Yes,,Elected
Cheater,Adrian,CHEATER,Adrian,Adelaide Hills,Ward Councillor,Ranges ward,12,No,,Elected
Crawford,Philip,CRAWFORD,Philip,Adelaide Hills,Ward Councillor,Ranges ward,7,No,Animal Justice Party,Not elected
Daniell,Nathan David,DANIELL,Nathan David,Adelaide Hills,Ward Councillor,Ranges ward,5,Yes,,Elected
Freer,David,FREER,David,Adelaide Hills,Ward Councillor,Ranges ward,3,No,Liberal Party of Australia (SA Division),Not elected
Kemp,John Graantley,KEMP,John,Adelaide Hills,Ward Councillor,Ranges ward,6,Yes,,Not elected
