council,election,vacancies,candidates,election_status,supplementary_election_required,comment
Cleve,Area Councillor,7,11,Contested,No,
Coorong,Mayor,1,3,Contested,No,
Coorong,Area Councillor,7,15,Contested,No,
Copper Coast,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Copper Coast,Area Councillor,9,8,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Elliston,Area Councillor,8,11,Contested,No,
Flinders Ranges,Mayor,1,2,Contested,No,
Flinders Ranges,Area Councillor,8,8,Uncontested,No,Candidate(s) who nominated were elected unopposed
Franklin Harbour,Area Councillor,6,9,Contested,No,
Gawler,Mayor,1,4,Contested,No,
Gawler,Area Councillor,10,23,Contested,No,
Goyder,Hallett Ward,1,3,Contested,No,
Goyder,Burra Ward,3,7,Contested,No,
Goyder,Eudunda Ward,2,6,Contested,No,
Goyder,Robertstown Ward,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Grant,Mayor,1,2,Contested,No,
Grant,Central Ward,7,10,Contested,No,
Grant,Tarpeena Ward,1,2,Contested,No,
Grant,Port MacDonnell Ward,1,3,Contested,No,
Holdfast Bay,Mayor,1,2,Contested,No,
Holdfast Bay,Glenelg Ward,3,8,Contested,No,
Holdfast Bay,Somerton Ward,3,6,Contested,No,
Holdfast Bay,Brighton Ward,3,3,Uncontested,No,Candidate(s) who nominated were elected unopposed
Holdfast Bay,Seacliff Ward,3,5,Contested,No,
Kangaroo Island,Mayor,1,2,Contested,No,
Kangaroo Island,Area Councillor,9,11,Contested,No,
Karoonda East Murray,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Karoonda East Murray,Area Councillor,6,11,Contested,No,
Kimba,Area Councillor,7,6,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Kingston,Mayor,1,0,Failed,Yes,No candidates nominated
Kingston,Area Councillor,7,9,Contested,No,
Light,Mayor,1,2,Contested,No,
Light,Dutton Ward,3,8,Contested,No,
Light,Light Ward,3,4,Contested,No,
Light,Mudla Wirra Ward,3,4,Contested,No,
Lower Eyre Peninsula,Area Councillor,7,8,Contested,No,
Loxton Waikerie,Mayor,1,2,Contested,No,
Loxton Waikerie,Area Councillor,10,13,Contested,No,
Marion,Mayor,1,3,Contested,No,
Marion,Mullawirra Ward,2,3,Contested,No,
Marion,Woodlands Ward,2,9,Contested,No,
Marion,Warracowie Ward,2,8,Contested,No,
Marion,Warriparinga Ward,2,5,Contested,No,
Marion,Coastal Ward,2,6,Contested,No,
Marion,Southern Hills Ward,2,4,Contested,No,
Mid Murray,Mayor,1,3,Contested,No,
Mid Murray,Eyre Ward,2,4,Contested,No,
Mid Murray,Shearer Ward,4,4,Uncontested,No,Candidate(s) who nominated were elected unopposed
Mid Murray,Murray Ward,2,6,Contested,No,
Mitcham,Mayor,1,3,Contested,No,
Mitcham,Boorman Ward,2,4,Contested,No,
Mitcham,Gault Ward,2,6,Contested,No,
Mitcham,Overton Ward,2,6,Contested,No,
Mitcham,Babbage Ward,2,4,Contested,No,
Mitcham,Craigburn Ward,2,4,Contested,No,
Mitcham,The Park Ward,2,3,Contested,No,
Mount Barker,Mayor,1,2,Contested,No,
Mount Barker,North Ward,3,4,Contested,No,
Mount Barker,Central Ward,4,5,Contested,No,
