council,election,is_overall_row,is_statewide_total_row,total_votes_2022,eligible_electors_2022,voter_participation_2022,status_2022,total_votes_2018,eligible_electors_2018,voter_participation_2018,status_2018
Prospect,East ward councillors,False,False,1350,3736,0.3613490364025696,,1202,3549,0.33868695407156946,
Prospect,Overall voter participation for council (all elections combined),True,False,,,0.3878639188747138,,,,0.3170939588163098,
Renmark Paringa,Mayor,False,False,3212,6722,0.47783397798274324,,3260,6469,0.5039418766424486,
Renmark Paringa,Area councillors,False,False,3216,6722,0.4784290389764951,,3265,6469,0.504714793631164,
Renmark Paringa,Overall voter participation for council (all elections combined),True,False,,,0.47813150847961916,,,,0.5043283351368063,
Robe,Mayor,False,False,,,,Failed,785,1184,0.6630067567567568,
Robe,Area councillors,False,False,952,1376,0.6918604651162791,,786,1184,0.6638513513513513,
Robe,Overall voter participation for council (all elections combined),True,False,,,0.6918604651162791,,,,0.6634290540540541,
Salisbury,Mayor,False,False,30906,98277,0.3144784639335755,,25287,93937,0.2691910535784622,
Salisbury,Central ward councillors,False,False,4615,14481,0.31869346039638147,,3634,13832,0.2627241179872759,
Salisbury,East ward councillors,False,False,3868,13822,0.2798437273911156,,3322,13369,0.2484853018176378,
Salisbury,South ward councillors,False,False,3971,13174,0.301427053286777,,3049,12837,0.23751655371192645,
Salisbury,Hills ward councillors,False,False,3755,13147,0.285616490454096,,3218,12783,0.251740592975045,
Salisbury,Para ward councillors,False,False,5315,14716,0.3611715139983691,,4434,14062,0.31531787796899446,
Salisbury,North ward councillors,False,False,4528,14327,0.3160466252530188,,3829,13099,0.2923123902587984,
Salisbury,West ward councillors,False,False,4874,14610,0.33360711841204654,,3804,13955,0.2725904693658187,
Salisbury,Overall voter participation for council (all elections combined),True,False,,,0.3145802171413454,,,,0.2692070217273279,
Southern Mallee,Area councillors,False,False,,,,Uncontested,916,1353,0.6770140428677014,
Southern Mallee,Overall voter participation for council (all elections combined),True,False,,,,No elections held,,,0.6770140428677014,
Streaky Bay,Flinders ward councillors,False,False,,,,Uncontested,384,763,0.5032765399737876,
Streaky Bay,Eyre ward councillors,False,False,,,,Uncontested,419,795,0.5270440251572327,
Streaky Bay,Overall voter participation for council (all elections combined),True,False,,,,No elections held,,,0.5154043645699615,
Tatiara,Mayor,False,False,2742,4553,0.6022402811333187,,,,,Uncontested
Tatiara,Area councillors,False,False,2750,4553,0.6039973643751373,,2089,4505,0.4637069922308546,
Tatiara,Overall voter participation for council (all elections combined),True,False,,,0.603118822754228,,,,0.4637069922308546,
Tea Tree Gully,Mayor,False,False,19594,74686,0.2623517125030126,,18872,72865,0.2589995196596446,
Tea Tree Gully,Pedare ward councillors,False,False,3046,13125,0.23207619047619046,,3364,12933,0.2601097966442434,
Tea Tree Gully,Drumminor ward councillors,False,False,2951,11393,0.2590186956903362,,2779,11191,0.24832454651058886,
Tea Tree Gully,Hillcott ward councillors,False,False,3022,11882,0.25433428715704426,,2835,11859,0.2390589425752593,
Tea Tree Gully,Balmoral ward councillors,False,False,3446,12199,0.28248217066972703,,3050,11654,0.2617127166638064,
Tea Tree Gully,Steventon ward councillors,False,False,3775,13226,0.285422652351429,,3583,12782,0.280316069472696,
Tea Tree Gully,Water Gully ward councillors,False,False,3399,12861,0.2642873804525309,,3279,12446,0.2634581391611763,
Tea Tree Gully,Overall voter participation for council (all elections combined),True,False,,,0.2626529737835739,,,,0.25912303575104645,
Tumby Bay,Mayor,False,False,,,,Uncontested,1305,1981,0.6587582029278143,
Tumby Bay,Area councillors,False,False,,,,Uncontested,1301,1981,0.6567390206966178,
Tumby Bay,Overall voter participation for council (all elections combined),True,False,,,,No elections held,,,0.657748611812216,
Unley,Mayor,False,False,9210,28061,0.32821353479918747,,8418,27441,0.30676724609161476,
Unley,Unley ward councillors,False,False,1687,4844,0.34826589595375723,,1503,4607,0.3262426741914478,
Unley,Parkside ward councillors,False,False,1421,4489,0.31655157050568056,,1117,4372,0.25548947849954257,
Unley,Fullarton ward councillors,False,False,1633,5008,0.32607827476038337,,,,,Uncontested
Unley,Goodwood ward councillors,False,False,1526,4572,0.3337707786526684,,1493,4535,0.32921719955898565,
Unley,Clarence Park ward councillors,False,False,1457,4383,0.3324207164042893,,1372,4310,0.3183294663573086,
Unley,Unley Park ward councillors,False,False,1502,4765,0.31521511017838405,,,,,Uncontested
Unley,Overall voter participation for council (all elections combined),True,False,,,0.3284986279890239,,,,0.30714680216502815,
Victor Harbor,Mayor,False,False,6362,13398,0.4748469920883714,,6335,12363,0.5124160802394241,
Victor Harbor,Area councillors,False,False,6338,13398,0.4730556799522317,,6312,12363,0.5105556903664159,
Victor Harbor,Overall voter participation for council (all elections combined),True,False,,,0.47395133602030154,,,,0.51148588530292,
Wakefield,Mayor,False,False,,,,Uncontested,,,,Uncontested
Wakefield,North ward councillors,False,False,750,1625,0.46153846153846156,,697,1533,0.4546640574037834,
Wakefield,Central ward councillors,False,False,1141,2350,0.485531914893617,,1085,2227,0.48720251459362374,
Wakefield,South ward councillors,False,False,,,,Uncontested,405,997,0.4062186559679037,
Wakefield,Overall voter participation for council (all elections combined),True,False,,,0.4757232704402516,,,,0.4597435358419172,
Walkerville,Mayor,False,False,2352,5836,0.4030157642220699,,,,,Uncontested
Walkerville,Area councillors,False,False,2359,5836,0.40421521590130227,,1890,5674,0.3330983433204089,
Walkerville,Overall voter participation for council (all elections combined),True,False,,,0.40361549006168607,,,,0.3330983433204089,
Wattle Range,Mayor,False,False,,,,Uncontested,4237,8483,0.49946952728987387,
Wattle Range,Kintore ward councillors,False,False,854,1525,0.56,,,,,Uncontested
Wattle Range,Riddoch ward councillors,False,False,768,1575,0.4876190476190476,,667,1507,0.4426011944260119,
Wattle Range,Corcoran ward councillors,False,False,1931,4249,0.45445987291127327,,2199,4104,0.5358187134502924,
Wattle Range,Sorby Adams ward councillors,False,False,696,1518,0.45849802371541504,,626,1443,0.4338184338184338,
Wattle Range,Overall voter participation for council (all elections combined),True,False,,,0.4791925115597158,,,,0.4974576816631267,
West Torrens,Mayor,False,False,,,,Uncontested,11825,40905,0.28908446400195575,
West Torrens,Keswick ward councillors,False,False,2344,6713,0.34917324594071203,,1684,5739,0.29343091130859034,
West Torrens,Hilton ward councillors,False,False,2023,6382,0.31698527107489816,,1558,6030,0.2583747927031509,
West Torrens,Plympton ward councillors,False,False,1981,5796,0.3417874396135266,,1744,5449,0.3200587263718113,
West Torrens,Lockleys ward councillors,False,False,1961,6000,0.3268333333333333,,1611,5699,0.28268117213546234,
West Torrens,Airport ward councillors,False,False,1740,6075,0.28641975308641976,,1990,5848,0.3402872777017784,
West Torrens,Morphett ward councillors,False,False,,,,Uncontested,1561,5965,0.2616932103939648,
West Torrens,Thebarton ward councillors,False,False,2074,6295,0.3294678316123908,,1661,6175,0.2689878542510121,
West Torrens,Overall voter participation for council (all elections combined),True,False,,,0.325353586860256,,,,0.28888888888888886,
Whyalla,Mayor,False,False,6603,15594,0.42343208926510195,,7210,15267,0.47226043099495646,
Whyalla,Area councillors,False,False,6556,15594,0.42041810952930614,,7163,15267,0.4691818955917993,
Whyalla,Overall voter participation for council (all elections combined),True,False,,,0.4219250993972041,,,,0.4707211632933779,
Wudinna,Area councillors,False,False,,,,Uncontested,,,,Uncontested
Wudinna,Overall voter participation for council (all elections combined),True,False,,,,No elections held,,,,No elections held
Yankalilla,Field ward councillors,False,False,983,2077,0.4732787674530573,,811,1929,0.4204250907205806,
Yankalilla,Light ward councillors,False,False,1525,2553,0.5973364669016843,,1257,2312,0.5436851211072664,
Yankalilla,Overall voter participation for council (all elections combined),True,False,,,0.5416846652267818,,,,0.4876208441405329,
Yorke Peninsula,Mayor,False,False,,,,Uncontested,4552,8829,0.5155736776531884,
Yorke Peninsula,Kalkabury ward councillors,False,False,,,,Uncontested,1503,3156,0.4762357414448669,
Yorke Peninsula,Gum Flat ward councillors,False,False,1334,2616,0.5099388379204893,,1421,2530,0.5616600790513834,
Yorke Peninsula,Innes/Penton Vale ward councillors,False,False,,,,Uncontested,1625,3143,0.517021953547566,
Yorke Peninsula,Overall voter participation for council (all elections combined),True,False,,,0.5099388379204893,,,,0.5154037829878808,
All councils,Total (participation across all elections combined),False,True,,,0.3292144035006413,,,,0.3161605606974825,
