council,election,is_overall_row,is_statewide_total_row,informal_votes_2022,total_votes_2022,informality_rate_2022,status,vacancies,candidates
Adelaide,Lord Mayor,False,False,53,8630,0.0061413673232908455,,1,5
Adelaide,Area councillors,False,False,190,8588,0.022123893805309734,,2,9
Adelaide,North ward councillors,False,False,50,2486,0.02011263073209976,,2,5
Adelaide,Central ward councillors,False,False,90,3382,0.026611472501478415,,4,14
Adelaide,South ward councillors,False,False,76,2843,0.02673232500879353,,3,12
Adelaide,Overall for council (all elections combined),True,False,459,25929,0.01770218674071503,,12,45
Adelaide Hills,Mayor,False,False,,,,Uncontested,,
Adelaide Hills,Ranges ward councillors,False,False,135,5302,0.025462089777442475,,7,12
Adelaide Hills,Valleys ward councillors,False,False,72,3984,0.018072289156626505,,5,6
Adelaide Hills,Overall for council (all elections combined),True,False,207,9286,0.022291621796252423,,12,18
Adelaide Plains,Mayor,False,False,29,2080,0.013942307692307693,,1,2
Adelaide Plains,Area councillors,False,False,109,2089,0.052178075634274776,,9,15
Adelaide Plains,Overall for council (all elections combined),True,False,138,4169,0.03310146318061885,,10,17
Alexandrina,Mayor,False,False,88,9958,0.008837115886724242,,1,4
Alexandrina,Alexandrina West ward councillors,False,False,78,3177,0.024551463644948063,,3,6
Alexandrina,Alexandrina North ward councillors,False,False,60,3076,0.01950585175552666,,3,6
Alexandrina,Alexandrina South ward councillors,False,False,62,3707,0.016725114647963314,,3,13
Alexandrina,Overall for council (all elections combined),True,False,288,19918,0.014459283060548249,,10,29
Barossa,Mayor,False,False,35,7394,0.004733567757641331,,1,2
Barossa,Area councillors,False,False,369,7446,0.04955680902497985,,11,22
Barossa,Overall for council (all elections combined),True,False,404,14840,0.027223719676549865,,12,24
Barunga West,Area councillors,False,False,34,1087,0.031278748850046,,9,11
Barunga West,Overall for council (all elections combined),True,False,34,1087,0.031278748850046,,9,11
Berri Barmera,Mayor,False,False,22,3256,0.006756756756756757,,1,3
Berri Barmera,Area councillors,False,False,102,3244,0.031442663378545004,,8,9
Berri Barmera,Overall for council (all elections combined),True,False,124,6500,0.019076923076923078,,9,12
Burnside,Mayor,False,False,184,10561,0.017422592557522962,,1,2
Burnside,Beaumont ward councillors,False,False,44,1886,0.02332979851537646,,2,6
Burnside,Burnside ward councillors,False,False,62,1666,0.03721488595438175,,2,3
Burnside,Eastwood & Glenunga ward councillors,False,False,79,2051,0.03851779619697709,,2,6
Burnside,Kensington Gardens & Magill ward councillors,False,False,21,1518,0.01383399209486166,,2,6
Burnside,Kensington Park ward councillors,False,False,54,1962,0.027522935779816515,,2,5
Burnside,Rose Park & Toorak Gardens ward councillors,False,False,,,,Uncontested,,
Burnside,Overall for council (all elections combined),True,False,444,19644,0.022602321319486866,,11,28
Campbelltown,Mayor,False,False,,,,Uncontested,,
Campbelltown,Hectorville ward councillors,False,False,50,2500,0.02,,2,7
Campbelltown,Gorge ward councillors,False,False,50,2225,0.02247191011235955,,2,4
Campbelltown,Newton ward councillors,False,False,92,2141,0.04297057449789818,,2,4
Campbelltown,River ward councillors,False,False,45,2245,0.0200445434298441,,2,5
Campbelltown,Woodforde ward councillors,False,False,,,,Uncontested,,
Campbelltown,Overall for council (all elections combined),True,False,237,9111,0.02601251234771156,,8,20
Ceduna,Mayor,False,False,9,1138,0.007908611599297012,,1,2
Ceduna,Area councillors,False,False,40,1143,0.03499562554680665,,8,11
Ceduna,Overall for council (all elections combined),True,False,49,2281,0.021481806225339763,,9,13
Charles Sturt,Mayor,False,False,283,26717,0.010592506643709997,,1,4
Charles Sturt,Semaphore Park ward councillors,False,False,134,3344,0.04007177033492823,,2,4
Charles Sturt,Grange ward councillors,False,False,179,3297,0.05429178040643009,,2,4
Charles Sturt,Henley ward councillors,False,False,201,3056,0.06577225130890052,,2,3
Charles Sturt,Woodville ward councillors,False,False,249,4141,0.06013040328423086,,2,4
Charles Sturt,West Woodville ward councillors,False,False,231,3348,0.06899641577060932,,2,3
Charles Sturt,Findon ward councillors,False,False,211,3777,0.05586444267937517,,2,4
Charles Sturt,Hindmarsh ward councillors,False,False,107,3043,0.035162668419323036,,2,5
Charles Sturt,Beverley ward councillors,False,False,,,,Uncontested,,
Charles Sturt,Overall for council (all elections combined),True,False,1595,50723,0.031445300948287756,,15,31
Clare & Gilbert Valleys,Mayor,False,False,23,3359,0.006847275974992557,,1,3
