age_range,gender,standing_for_reelection,elected_status,council_type,position_contested
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Country,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,M,No,No,Metropolitan,Ward Councillor
18-24,F,No,No,Country,Area Councillor
18-24,M,No,No,Country,Area Councillor
18-24,M,No,Yes,Country,Area Councillor
18-24,M,No,Yes,Metropolitan,Ward Councillor
18-24,F,Yes,Yes,Metropolitan,Ward Councillor
18-24,M,No,Yes,Metropolitan,Area Councillor
18-24,M,No,Yes,Metropolitan,Area Councillor
18-24,M,No,Yes,Metropolitan,Ward Councillor
18-24,M,No,Yes,Metropolitan,Ward Councillor
18-24,F,No,Yes,Metropolitan,Ward Councillor
18-24,M,No,Yes,Metropolitan,Ward Councillor
18-24,M,No,Yes,Country,Area Councillor
18-24,F,No,Yes,Country,Area Councillor
18-24,M,Yes,Yes,Metropolitan,Ward Councillor
18-24,M,No,Yes,Metropolitan,Ward Councillor
18-24,F,No,Yes,Metropolitan,Ward Councillor
18-24,M,Yes,Yes,Country,Area Councillor
18-24,M,No,Yes,Country,Area Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Country,Ward Councillor
