STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1993549,46.84%,-0.01%
VIC,428973,10.08%,-0.08%
QLD,617998,14.52%,-0.04%
SA,599756,14.09%,0.28%
WA,443088,10.41%,-0.05%
TAS,140943,3.31%,-0.12%
NT,7201,0.17%,0.07%
ACT,24259,0.57%,-0.14%
TOTAL,4255767,100.00%,0.01%
