STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,406563,22.44%,0.36%
VIC,454781,25.09%,0.30%
QLD,357156,19.71%,0.26%
SA,207021,11.42%,0.44%
WA,278407,15.36%,0.15%
TAS,54606,3.01%,0.10%
NT,13477,0.74%,-0.16%
ACT,40369,2.23%,0.33%
TOTAL,1812380,100.00%,0.29%
