STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,404,8653,37435,47578,43832,44840,66286, 249 028,8.30%
VIC,267,17357,63070,60209,49205,43491,49906, 283 505,12.00%
QLD,273,10196,40004,45211,42055,39551,46169, 223 459,12.10%
SA,3113,14086,21222,19400,19141,19377,26269, 122 608,17.80%
WA,106,9526,36640,35281,31876,28033,30365, 171 827,17.30%
TAS,43,2171,6021,6171,6487,6559,6926, 34 378,16.50%
NT,4,483,2307,2079,1769,1251,737, 8 630,10.00%
ACT,37,1726,6086,5371,4154,3469,3847, 24 690,15.90%
TOTAL,4247,64198,212785,221300,198519,186571,230505,1118125,12.00%
