STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,308900,22.40%,0.52%
VIC,331780,24.05%,0.59%
QLD,292984,21.24%,0.50%
SA,138994,10.08%,0.79%
WA,225104,16.32%,0.86%
TAS,42771,3.10%,0.64%
NT,10534,0.76%,1.06%
ACT,28217,2.05%,0.97%
TOTAL,1379284,100.00%,0.63%
