STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,73,4657,13858,22255,23721,27145,41130,132839,4.66%
VIC,108,8845,24758,30141,26072,24701,28301,142926,6.49%
QLD,95,5906,14825,22465,23449,24807,29916,121463,6.86%
SA,2090,7862,7470,9757,10456,11365,15504,64504,9.88%
WA,53,6758,15404,18802,18774,18363,19535,97689,10.56%
TAS,34,977,2256,2953,3391,3959,4138,17708,8.99%
NT,8,253,822,978,1043,903,482,4489,4.96%
ACT,21,937,2557,2673,2485,2140,2108,12921,9.07%
TOTAL,2482,36195,81950,110024,109391,113383,141114,594539,6.73%
