STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,333826,21.85%,0.29%
VIC,374581,24.52%,0.49%
QLD,316178,20.69%,0.27%
SA,159569,10.44%,0.63%
WA,251529,16.46%,0.39%
TAS,47018,3.08%,0.22%
NT,12349,0.81%,0.42%
ACT,32890,2.15%,0.44%
TOTAL,1527940,100.00%,0.39%
