STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1971106,46.16%,-0.04%
VIC,425427,9.96%,-0.06%
QLD,616696,14.44%,-0.03%
SA,645066,15.11%,0.23%
WA,440308,10.31%,-0.02%
TAS,139324,3.26%,-0.03%
NT,7124,0.17%,-0.10%
ACT,24658,0.58%,0.05%
TOTAL,4269709,100.00%,0.00%
