STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,3921,138686,225626,224088,180987,185963,959271,31.90%
VIC,4709,40241,62700,51816,41081,41209,241756,10.30%
QLD,4361,78733,80811,61862,38697,31365,295829,16.00%
SA,27941,60948,60946,58963,49633,50147,308578,44.80%
WA,1885,18934,51305,55074,44229,46856,218283,22.00%
TAS,561,5068,15067,16951,14585,16239,68471,32.90%
NT,162,637,1118,1033,637,343,3930,4.50%
ACT,588,2416,3780,3127,2280,2159,14350,9.20%
TOTAL,44128,345663,501353,472914,372129,374281,2110468,22.60%
