STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1990956,46.67%,-0.01%
VIC,430534,10.09%,0.14%
QLD,619241,14.52%,0.05%
SA,609530,14.29%,0.33%
WA,443117,10.39%,0.01%
TAS,140574,3.30%,-0.03%
NT,7234,0.17%,0.31%
ACT,24677,0.58%,0.19%
TOTAL,4265863,100.00%,0.06%
