source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Australia,Own drug use,,10374
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Australia,Own drug use,,9784
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Australia,Other's drug use,,152
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Australia,Other's drug use,,131
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Australia,Other's drug use,,70
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Australia,Other's drug use,,36
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Australia,Other's drug use,,39
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Australia,Other's drug use,,59
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Australia,Other's drug use,,125
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Australia,Other's drug use,,149
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Australia,Other's drug use,,112
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Australia,Other's drug use,,50
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Australia,Total,,10866
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Australia,Total,,10141
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Australia,Total,,8896
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Australia,Total,,8871
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Australia,Total,,9385
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Australia,Total,,8780
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Australia,Total,,10642
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Australia,Total,,9540
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Australia,Total,,10486
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Australia,Total,,9834
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,New Zealand,Own drug use,,56
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,New Zealand,Own drug use,,45
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,New Zealand,Own drug use,,46
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,New Zealand,Own drug use,,52
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,New Zealand,Own drug use,,66
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,New Zealand,Own drug use,,57
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,New Zealand,Own drug use,,128
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,New Zealand,Own drug use,,95
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,New Zealand,Own drug use,,89
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,New Zealand,Own drug use,,107
