source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Australian Indigenous languages,Other's drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Australian Indigenous languages,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Australian Indigenous languages,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Australian Indigenous languages,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Australian Indigenous languages,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Australian Indigenous languages,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Australian Indigenous languages,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Australian Indigenous languages,Other's drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Australian Indigenous languages,Total,,108
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Australian Indigenous languages,Total,,116
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Australian Indigenous languages,Total,,51
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Australian Indigenous languages,Total,,71
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Australian Indigenous languages,Total,,50
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Australian Indigenous languages,Total,,63
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Australian Indigenous languages,Total,,89
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Australian Indigenous languages,Total,,23
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Australian Indigenous languages,Total,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Australian Indigenous languages,Total,,45
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Italian,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Italian,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Italian,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Italian,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Italian,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Italian,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Italian,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Italian,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Italian,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Italian,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Italian,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Italian,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Italian,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Italian,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Italian,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Italian,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Italian,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Italian,Total,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Italian,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Italian,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Italian,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,French,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,French,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,French,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,French,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,French,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,French,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,French,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,French,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,French,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,French,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,French,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,French,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,French,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,French,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,French,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,French,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,French,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,French,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,French,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,French,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,French,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Spanish,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Spanish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Spanish,Own drug use,,5
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Spanish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Spanish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Spanish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Spanish,Own drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Spanish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Spanish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Spanish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Spanish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Spanish,Total,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Spanish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Spanish,Total,,5
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Spanish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Spanish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Spanish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Spanish,Total,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Spanish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Spanish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Spanish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Polish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Polish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Polish,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Polish,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Polish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Polish,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Polish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Polish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Polish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Polish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Polish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Polish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Polish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Polish,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Polish,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Polish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Polish,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Polish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Polish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Polish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Polish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,African,Own drug use,,10
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,African,Own drug use,,5
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,African,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,African,Own drug use,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,African,Own drug use,,14
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,African,Own drug use,,9
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,African,Own drug use,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,African,Own drug use,,13
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,African,Own drug use,,27
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,African,Own drug use,,24
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,African,Other's drug use,,6
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,African,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,African,Other's drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,African,Other's drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,African,Total,,10
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,African,Total,,5
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,African,Total,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,African,Total,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,African,Total,,20
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,African,Total,,9
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,African,Total,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,African,Total,,13
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,African,Total,,28
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,African,Total,,27
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Turkish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Turkish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Turkish,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Turkish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Turkish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Turkish,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Turkish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Turkish,Own drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Turkish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Turkish,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Turkish,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Turkish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Turkish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Turkish,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Turkish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Turkish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Turkish,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Turkish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Turkish,Total,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Turkish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Turkish,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Iranic,Own drug use,,12
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Iranic,Own drug use,,11
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Iranic,Own drug use,,16
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Iranic,Own drug use,,16
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Iranic,Own drug use,,18
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Iranic,Own drug use,,18
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Iranic,Own drug use,,8
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Iranic,Own drug use,,15
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Iranic,Own drug use,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Iranic,Own drug use,,9
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Iranic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Iranic,Total,,12
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Iranic,Total,,11
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Iranic,Total,,16
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Iranic,Total,,16
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Iranic,Total,,18
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Iranic,Total,,18
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Iranic,Total,,8
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Iranic,Total,,15
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Iranic,Total,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Iranic,Total,,9
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Arabic,Own drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Arabic,Own drug use,,6
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Arabic,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Arabic,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Arabic,Own drug use,,10
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Arabic,Own drug use,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Arabic,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Arabic,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Arabic,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Arabic,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Arabic,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Arabic,Total,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Arabic,Total,,6
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Arabic,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Arabic,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Arabic,Total,,10
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Arabic,Total,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Arabic,Total,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Arabic,Total,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Arabic,Total,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Arabic,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Chinese,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Chinese,Own drug use,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Chinese,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Chinese,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Chinese,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Chinese,Own drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Chinese,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Chinese,Own drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Chinese,Own drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Chinese,Own drug use,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Chinese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Chinese,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Chinese,Total,,1
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Chinese,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Chinese,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Chinese,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Chinese,Total,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Chinese,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Chinese,Total,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Chinese,Total,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Chinese,Total,,2
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Vietnamese,Own drug use,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Vietnamese,Own drug use,,5
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Vietnamese,Own drug use,,4
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Vietnamese,Own drug use,,3
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Vietnamese,Own drug use,,25
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Vietnamese,Own drug use,,25
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Vietnamese,Own drug use,,46
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Vietnamese,Own drug use,,76
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Vietnamese,Own drug use,,38
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Vietnamese,Own drug use,,57
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Vietnamese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2023–24,Vietnamese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2022–23,Vietnamese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2021–22,Vietnamese,Other's drug use,,0
ST SA.4,"Closed treatment episodes, by preferred language and client type",2020–21,Vietnamese,Other's drug use,,48
ST SA.4,"Closed treatment episodes, by preferred language and client type",2019–20,Vietnamese,Other's drug use,,28
ST SA.4,"Closed treatment episodes, by preferred language and client type",2018–19,Vietnamese,Other's drug use,,49
ST SA.4,"Closed treatment episodes, by preferred language and client type",2017–18,Vietnamese,Other's drug use,,26
ST SA.4,"Closed treatment episodes, by preferred language and client type",2016–17,Vietnamese,Other's drug use,,24
ST SA.4,"Closed treatment episodes, by preferred language and client type",2015–16,Vietnamese,Other's drug use,,7
ST SA.4,"Closed treatment episodes, by preferred language and client type",2024–25,Vietnamese,Total,,7
