source_table,breakdown,financial_year,category_1,category_2,column_category,count
SCR SA.1,Clients by client type,2024–25,Own drug use,,,8587
SCR SA.1,Clients by client type,2023–24,Own drug use,,,7882
SCR SA.1,Clients by client type,2022–23,Own drug use,,,6660
SCR SA.1,Clients by client type,2021–22,Own drug use,,,6929
SCR SA.1,Clients by client type,2020–21,Own drug use,,,7283
SCR SA.1,Clients by client type,2019–20,Own drug use,,,7045
SCR SA.1,Clients by client type,2018–19,Own drug use,,,8505
SCR SA.1,Clients by client type,2017–18,Own drug use,,,7369
SCR SA.1,Clients by client type,2016–17,Own drug use,,,8334
SCR SA.1,Clients by client type,2015–16,Own drug use,,,8025
SCR SA.1,Clients by client type,2014–15,Own drug use,,,8782
SCR SA.1,Clients by client type,2013–14,Own drug use,,,9136
SCR SA.1,Clients by client type,2024–25,Other's drug use,,,134
SCR SA.1,Clients by client type,2023–24,Other's drug use,,,107
SCR SA.1,Clients by client type,2022–23,Other's drug use,,,58
SCR SA.1,Clients by client type,2021–22,Other's drug use,,,31
SCR SA.1,Clients by client type,2020–21,Other's drug use,,,69
SCR SA.1,Clients by client type,2019–20,Other's drug use,,,86
SCR SA.1,Clients by client type,2018–19,Other's drug use,,,176
SCR SA.1,Clients by client type,2017–18,Other's drug use,,,175
SCR SA.1,Clients by client type,2016–17,Other's drug use,,,129
SCR SA.1,Clients by client type,2015–16,Other's drug use,,,64
SCR SA.1,Clients by client type,2014–15,Other's drug use,,,157
SCR SA.1,Clients by client type,2013–14,Other's drug use,,,79
SCR SA.1,Clients by client type,2024–25,Total,,,8721
SCR SA.1,Clients by client type,2023–24,Total,,,7989
SCR SA.1,Clients by client type,2022–23,Total,,,6718
SCR SA.1,Clients by client type,2021–22,Total,,,6960
SCR SA.1,Clients by client type,2020–21,Total,,,7352
SCR SA.1,Clients by client type,2019–20,Total,,,7131
SCR SA.1,Clients by client type,2018–19,Total,,,8681
SCR SA.1,Clients by client type,2017–18,Total,,,7544
SCR SA.1,Clients by client type,2016–17,Total,,,8463
SCR SA.1,Clients by client type,2015–16,Total,,,8089
SCR SA.1,Clients by client type,2014–15,Total,,,8939
SCR SA.1,Clients by client type,2013–14,Total,,,9215
SCR SA.2,Clients by sex,2024–25,Own drug use,Male,,5373
SCR SA.2,Clients by sex,2023–24,Own drug use,Male,,4925
SCR SA.2,Clients by sex,2022–23,Own drug use,Male,,4208
SCR SA.2,Clients by sex,2021–22,Own drug use,Male,,4303
SCR SA.2,Clients by sex,2020–21,Own drug use,Male,,4543
SCR SA.2,Clients by sex,2019–20,Own drug use,Male,,4551
SCR SA.2,Clients by sex,2018–19,Own drug use,Male,,5545
SCR SA.2,Clients by sex,2017–18,Own drug use,Male,,4925
SCR SA.2,Clients by sex,2016–17,Own drug use,Male,,5655
SCR SA.2,Clients by sex,2015–16,Own drug use,Male,,5550
SCR SA.2,Clients by sex,2014–15,Own drug use,Male,,6113
SCR SA.2,Clients by sex,2013–14,Own drug use,Male,,6476
SCR SA.2,Clients by sex,2024–25,Own drug use,Female,,3160
SCR SA.2,Clients by sex,2023–24,Own drug use,Female,,2918
SCR SA.2,Clients by sex,2022–23,Own drug use,Female,,2417
SCR SA.2,Clients by sex,2021–22,Own drug use,Female,,2605
SCR SA.2,Clients by sex,2020–21,Own drug use,Female,,2730
SCR SA.2,Clients by sex,2019–20,Own drug use,Female,,2486
SCR SA.2,Clients by sex,2018–19,Own drug use,Female,,2955
SCR SA.2,Clients by sex,2017–18,Own drug use,Female,,2442
SCR SA.2,Clients by sex,2016–17,Own drug use,Female,,2676
SCR SA.2,Clients by sex,2015–16,Own drug use,Female,,2473
SCR SA.2,Clients by sex,2014–15,Own drug use,Female,,2667
SCR SA.2,Clients by sex,2013–14,Own drug use,Female,,2655
SCR SA.2,Clients by sex,2024–25,Own drug use,Another term,,43
SCR SA.2,Clients by sex,2023–24,Own drug use,Another term,,27
SCR SA.2,Clients by sex,2022–23,Own drug use,Another term,,28
SCR SA.2,Clients by sex,2021–22,Own drug use,Another term,,13
SCR SA.2,Clients by sex,2020–21,Own drug use,Another term,,6
SCR SA.2,Clients by sex,2019–20,Own drug use,Another term,,5
SCR SA.2,Clients by sex,2018–19,Own drug use,Another term,,4
SCR SA.2,Clients by sex,2017–18,Own drug use,Another term,,0
SCR SA.2,Clients by sex,2016–17,Own drug use,Another term,,0
SCR SA.2,Clients by sex,2015–16,Own drug use,Another term,,0
SCR SA.2,Clients by sex,2014–15,Own drug use,Another term,,0
SCR SA.2,Clients by sex,2013–14,Own drug use,Another term,,0
SCR SA.2,Clients by sex,2024–25,Own drug use,Not stated,,11
SCR SA.2,Clients by sex,2023–24,Own drug use,Not stated,,12
SCR SA.2,Clients by sex,2022–23,Own drug use,Not stated,,7
SCR SA.2,Clients by sex,2021–22,Own drug use,Not stated,,8
SCR SA.2,Clients by sex,2020–21,Own drug use,Not stated,,4
SCR SA.2,Clients by sex,2019–20,Own drug use,Not stated,,3
SCR SA.2,Clients by sex,2018–19,Own drug use,Not stated,,1
SCR SA.2,Clients by sex,2017–18,Own drug use,Not stated,,2
SCR SA.2,Clients by sex,2016–17,Own drug use,Not stated,,3
SCR SA.2,Clients by sex,2015–16,Own drug use,Not stated,,2
SCR SA.2,Clients by sex,2014–15,Own drug use,Not stated,,2
SCR SA.2,Clients by sex,2013–14,Own drug use,Not stated,,5
SCR SA.2,Clients by sex,2024–25,Own drug use,Total,,8587
SCR SA.2,Clients by sex,2023–24,Own drug use,Total,,7882
SCR SA.2,Clients by sex,2022–23,Own drug use,Total,,6660
SCR SA.2,Clients by sex,2021–22,Own drug use,Total,,6929
SCR SA.2,Clients by sex,2020–21,Own drug use,Total,,7283
SCR SA.2,Clients by sex,2019–20,Own drug use,Total,,7045
SCR SA.2,Clients by sex,2018–19,Own drug use,Total,,8505
SCR SA.2,Clients by sex,2017–18,Own drug use,Total,,7369
