,Total Number of Containers
2005 - 2006,"422,983,728"
2006 - 2007,"454,530,169"
2007 - 2008,"515,733,029"
2008 - 2009,"576,727,234"
2009 - 2010,"619,080,770"
2010 - 2011,"593,341,714"
2011 - 2012,"609,353,490"
2012 - 2013,"594,066,276"
2013 - 2014,"583,136,922"
2014 - 2015,"583,039,041"
2015 - 2016,"582,500,086"
2016 - 2017,"586,846,915"
2017 - 2018,"602,926,673"
2018 - 2019,"612,477,153"
2019 - 2020,"605,568,073"
