,2005 - 2006 ,2006 - 2007 ,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019
Glass ,81.9,79.8,78.5,79.1,84.3,83.4,84.4,85.71,86.32,82.29,79.3,84.9,86,83.4
Alumnium ,75.4,78.8,77.3,82.9,85.6,88.9,87.8,86.88,84.33,83.53,83.6,88.8,83.7,82.9
PET ,66.1,65.9,63.6,70.4,73.9,72.3,78,72.16,70.45,69.54,64.8,65.8,68.9,68
HDPE ,48.7,46.4,49.2,50.9,61.3,59.2,58.6,58.21,56.39,60.69,61.3,53.5,63.5,64.1
LPB ,36.6,36.9,35.4,49.6,58.1,55.5,57.7,62.95,61.85,67.2,66.1,67.4,44.3,49.1
Total,69.5,70.6,69.9,75.8,80.1,80.4,81.4,80.81,79.46,78.47,76.5,79.9,76.9,76.4
