STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,323724,22.11%,0.47%
VIC,354501,24.21%,0.76%
QLD,306774,20.95%,0.43%
SA,150724,10.29%,0.67%
WA,240838,16.45%,0.65%
TAS,45194,3.09%,0.42%
NT,11549,0.79%,0.66%
ACT,31034,2.12%,1.16%
TOTAL,1464338,100.00%,0.60%
