STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,77,4973,13425,21960,23071,26767,39134,129407,4.54%
VIC,114,9005,23332,28752,24798,23374,26079,135454,6.15%
QLD,100,6197,14520,21869,22985,24421,28236,118328,6.68%
SA,2286,7409,6892,9197,9899,10836,14384,60903,9.33%
WA,62,6961,14588,18111,18022,17646,18174,93564,10.11%
TAS,18,998,2184,2841,3325,3882,3886,17134,8.70%
NT,6,260,759,979,962,850,433,4249,4.70%
ACT,10,918,2394,2544,2329,2050,1925,12170,8.54%
TOTAL,2673,36721,78094,106253,105391,109826,132251,571209,6.47%
