STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,325854,22.07%,0.66%
VIC,358392,24.28%,1.10%
QLD,308446,20.89%,0.55%
SA,152051,10.30%,0.88%
WA,242696,16.44%,0.77%
TAS,45656,3.09%,1.02%
NT,11704,0.79%,1.34%
ACT,31452,2.13%,1.35%
TOTAL,1476251,100.00%,0.81%
