reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2003-Q4,Number of Disputes,Total Reasons,,Number,A2540944K,177
2003-Q4,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,3.8
2003-Q4,Employees Involved,State legislation,,000,A2540942F,0.5
2003-Q4,Employees Involved,Federal legislation,,000,A2540939T,13.3
2003-Q4,Employees Involved,Pre-determined return to work,,000,A2540951J,31.6
2003-Q4,Employees Involved,Resumption without negotiation,,000,A2540933C,67.5
2003-Q4,Employees Involved,Mediation,,000,A2540927J,1.9
2003-Q4,Employees Involved,Other reasons,,000,A2540930W,0.6
2003-Q4,Employees Involved,Total Reasons,,000,A2540945L,119.2
2003-Q4,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,17.6
2003-Q4,Working days Lost,State legislation,,000,A2540943J,1.5
2003-Q4,Working days Lost,Federal legislation,,000,A2540940A,22.6
2003-Q4,Working days Lost,Pre-determined return to work,,000,A2540952K,34
2003-Q4,Working days Lost,Resumption without negotiation,,000,A2540934F,89.8
2003-Q4,Working days Lost,Mediation,,000,A2540928K,3.6
2003-Q4,Working days Lost,Other reasons,,000,A2540931X,17.2
2003-Q4,Working days Lost,Total Reasons,,000,A2540946R,186.4
2004-Q1,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,20
2004-Q1,Number of Disputes,State legislation,,Number,A2540941C,19
2004-Q1,Number of Disputes,Federal legislation,,Number,A2540938R,25
2004-Q1,Number of Disputes,Pre-determined return to work,,Number,A2540950F,25
2004-Q1,Number of Disputes,Resumption without negotiation,,Number,A2540932A,69
2004-Q1,Number of Disputes,Mediation,,Number,A2540926F,14
2004-Q1,Number of Disputes,Total Reasons,,Number,A2540944K,172
2004-Q1,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,11.9
2004-Q1,Employees Involved,State legislation,,000,A2540942F,3.1
2004-Q1,Employees Involved,Federal legislation,,000,A2540939T,4.6
2004-Q1,Employees Involved,Pre-determined return to work,,000,A2540951J,14.5
2004-Q1,Employees Involved,Resumption without negotiation,,000,A2540933C,11.2
2004-Q1,Employees Involved,Mediation,,000,A2540927J,1.5
2004-Q1,Employees Involved,Total Reasons,,000,A2540945L,46.8
2004-Q1,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,57.9
2004-Q1,Working days Lost,State legislation,,000,A2540943J,3.9
2004-Q1,Working days Lost,Federal legislation,,000,A2540940A,8.4
2004-Q1,Working days Lost,Pre-determined return to work,,000,A2540952K,22.3
2004-Q1,Working days Lost,Resumption without negotiation,,000,A2540934F,15.1
2004-Q1,Working days Lost,Mediation,,000,A2540928K,7.4
2004-Q1,Working days Lost,Total Reasons,,000,A2540946R,115
2004-Q2,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,42
2004-Q2,Number of Disputes,Federal legislation,,Number,A2540938R,23
2004-Q2,Number of Disputes,Pre-determined return to work,,Number,A2540950F,26
2004-Q2,Number of Disputes,Resumption without negotiation,,Number,A2540932A,76
2004-Q2,Number of Disputes,Mediation,,Number,A2540926F,10
2004-Q2,Number of Disputes,Total Reasons,,Number,A2540944K,184
2004-Q2,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,8.9
2004-Q2,Employees Involved,State legislation,,000,A2540942F,0.9
