table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
01,"National quarterly disputes, employees involved and working days lost",2015-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,70.7
01,"National quarterly disputes, employees involved and working days lost",2015-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,78.5
01,"National quarterly disputes, employees involved and working days lost",2015-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,81.2
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,59
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,72
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,14.1
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,20.3
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,19.1
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,224
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,228
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,72.8
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,73.3
01,"National quarterly disputes, employees involved and working days lost",2015-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,83.4
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,75
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,80
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,23.7
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,23.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,27.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,257
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,263
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,82.4
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,83.1
01,"National quarterly disputes, employees involved and working days lost",2016-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,90.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,52
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,60
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,19.8
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,20.5
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,24.5
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,256
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,264
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,84.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,87.4
01,"National quarterly disputes, employees involved and working days lost",2016-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,100.7
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,86
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,93
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,25.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,26.3
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,34.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,272
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,285
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,83.5
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,89.7
01,"National quarterly disputes, employees involved and working days lost",2016-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,106.5
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,41
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,48
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,36.4
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,37.5
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,37.2
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,254
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,259
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,105.8
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,105.9
01,"National quarterly disputes, employees involved and working days lost",2016-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,124.5
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,27
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,32
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,22
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,22.7
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,25.6
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,206
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,214
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,104.1
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,104.8
01,"National quarterly disputes, employees involved and working days lost",2017-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,122.2
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,41
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,49
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,22.7
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,27.8
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,40.2
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,195
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,202
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,107.1
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,107.5
01,"National quarterly disputes, employees involved and working days lost",2017-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,137.8
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,40
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,57
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,6.3
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,8.1
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,45.9
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,149
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,156
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,87.4
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,88.5
01,"National quarterly disputes, employees involved and working days lost",2017-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,148.9
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,46
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,67
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,14.7
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,17.1
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,36.7
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,154
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,159
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,65.8
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,66.5
01,"National quarterly disputes, employees involved and working days lost",2017-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,148.4
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,19
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,24
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,3.8
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,4
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,14.9
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,146
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,154
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,47.6
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,52.7
01,"National quarterly disputes, employees involved and working days lost",2018-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,137.7
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,42
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,48
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,14.4
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,14.6
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,12.5
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,147
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,164
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,39.2
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,41
01,"National quarterly disputes, employees involved and working days lost",2018-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,110
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,44
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,51
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,13.6
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,13.8
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,47.4
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,151
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,172
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,46.5
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,48.9
01,"National quarterly disputes, employees involved and working days lost",2018-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,111.6
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,53
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,62
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,25.6
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,28.8
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,30.9
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,158
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,163
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,57.4
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,57.6
01,"National quarterly disputes, employees involved and working days lost",2018-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,105.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,32
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,44
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,7.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,9.3
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,16.6
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,171
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,177
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,61.4
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,61.7
01,"National quarterly disputes, employees involved and working days lost",2019-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,107.4
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,34
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,44
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,18.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,20.2
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,17.6
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,163
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,170
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,65.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,66
01,"National quarterly disputes, employees involved and working days lost",2019-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,112.5
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,35
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,43
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,16.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,17.5
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,17.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,154
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,163
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,69
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,72.2
01,"National quarterly disputes, employees involved and working days lost",2019-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,82.9
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,34
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,38
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,8.3
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,8.8
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,12.4
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,135
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,147
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,51.6
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,53.2
01,"National quarterly disputes, employees involved and working days lost",2019-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,64.4
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,17
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,23
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,2.9
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,4
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,3.9
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,120
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,130
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,46.7
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,48.3
01,"National quarterly disputes, employees involved and working days lost",2020-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,51.7
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,8
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,11
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,0.9
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,1.1
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,1.5
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,94
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,102
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,28.8
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,29.6
01,"National quarterly disputes, employees involved and working days lost",2020-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,35.6
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,19
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,21
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,4.2
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,4.3
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,11.7
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,78
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,82
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,16.3
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,16.9
01,"National quarterly disputes, employees involved and working days lost",2020-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,29.5
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,27
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,32
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,2.2
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,2.6
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,16.5
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,71
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,77
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,10.2
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,11.4
01,"National quarterly disputes, employees involved and working days lost",2020-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,33.5
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,22
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,24
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,2.3
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,2.7
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,19.2
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,76
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,79
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,9.6
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,9.8
01,"National quarterly disputes, employees involved and working days lost",2021-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,48.8
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,30
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,36
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,6
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,6.4
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,10.4
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,98
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,100
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,14.7
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,14.8
01,"National quarterly disputes, employees involved and working days lost",2021-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,57.7
01,"National quarterly disputes, employees involved and working days lost",2021-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,39
