table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,508
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,155.7
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,163.6
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,371.6
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1876
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1895
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,552.7
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,570.5
01,"National quarterly disputes, employees involved and working days lost",1985-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1256.2
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,374
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,379
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,65.6
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,67.8
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,199.3
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1823
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1845
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,503.9
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,510.3
