reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
1985-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,427
1985-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,445
1985-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,114.3
1985-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,132.2
1985-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,333.1
1985-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1954
1985-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,586.6
1985-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1385.6
1985-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,380
1985-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,400
1985-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,117.9
1985-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,122.5
1985-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,202.1
1985-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1910
1985-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,612.2
1985-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1305.8
1985-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,581
1985-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,605
1985-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,164.8
1985-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,170.9
1985-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,349.4
1985-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1923
1985-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,627.5
1985-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1246.8
1985-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,488
1985-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,508
1985-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,155.7
1985-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,163.6
1985-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,371.6
1985-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1876
1985-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1895
1985-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,552.7
1985-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,570.5
1985-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1256.2
1986-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,374
1986-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,379
1986-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,65.6
1986-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,67.8
1986-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,199.3
1986-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1823
1986-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1845
1986-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,503.9
1986-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,510.3
1986-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1122.4
1986-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,463
1986-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,483
1986-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,299.9
1986-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,319.3
1986-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,526.3
1986-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1906
1986-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1931
1986-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,686
1986-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,692.1
1986-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1446.6
1986-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,477
1986-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,491
1986-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,156.9
1986-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,162.3
1986-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,289.9
1986-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1802
1986-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1823
1986-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,678.1
1986-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,686.1
1986-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1387.2
1986-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,438
1986-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,456
1986-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,151.5
1986-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,155.5
1986-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,375.2
1986-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1752
1986-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1761
1986-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,673.9
1986-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,691.7
1986-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1390.7
1987-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,362
1987-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,366
1987-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,83.5
1987-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,85.8
1987-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,184.2
1987-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1740
1987-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1761
1987-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,691.9
1987-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,711.3
1987-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1375.6
1987-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,395
1987-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,418
1987-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,179
1987-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,183.1
1987-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,277.6
1987-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1672
1987-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1686
1987-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,571
1987-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,576.3
1987-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1126.9
1987-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,363
1987-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,383
1987-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,149.4
1987-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,151.1
1987-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,519.3
1987-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1558
1987-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1577
1987-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,563.5
1987-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,568.3
1987-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1356.2
1987-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,394
1987-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,409
1987-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,181.5
1987-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,185.3
1987-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,330.8
1987-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1514
1987-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1519
1987-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,593.4
1987-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,608.8
1987-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1311.9
1988-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,388
1988-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,393
1988-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,90.9
1988-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,91.3
1988-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,214.5
1988-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1540
1988-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1565
