reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2008-Q1,Working days lost per 1000 employees,Coal mining,,Number,A2540871J,6.2
2008-Q1,Working days lost per 1000 employees,Other mining,,Number,A2540872K,0.6
2008-Q1,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,0.6
2008-Q1,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,0.3
2008-Q1,Working days lost per 1000 employees,Construction,,Number,A2540869W,2.9
2008-Q1,Working days lost per 1000 employees,"Transport, postal & warehousing",,Number,A2540867T,0.9
2008-Q1,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,19.5
2008-Q1,Working days lost per 1000 employees,Other industries,,Number,A2540868V,1
2008-Q1,Working days lost per 1000 employees,All industries,,Number,A2540874R,4.6
2008-Q2,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,28.7
2008-Q2,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,0.6
2008-Q2,Working days lost per 1000 employees,Construction,,Number,A2540869W,2
2008-Q2,Working days lost per 1000 employees,"Transport, postal & warehousing",,Number,A2540867T,3
2008-Q2,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,35.9
2008-Q2,Working days lost per 1000 employees,Other industries,,Number,A2540868V,1.4
2008-Q2,Working days lost per 1000 employees,All industries,,Number,A2540874R,9.1
2008-Q3,Working days lost per 1000 employees,Coal mining,,Number,A2540871J,49.5
2008-Q3,Working days lost per 1000 employees,Other mining,,Number,A2540872K,1.7
2008-Q3,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,0.5
2008-Q3,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,2.5
2008-Q3,Working days lost per 1000 employees,Construction,,Number,A2540869W,10.3
2008-Q3,Working days lost per 1000 employees,"Transport, postal & warehousing",,Number,A2540867T,2.7
2008-Q3,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,9.9
2008-Q3,Working days lost per 1000 employees,Other industries,,Number,A2540868V,1.2
2008-Q3,Working days lost per 1000 employees,All industries,,Number,A2540874R,3.8
2008-Q4,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,1.8
2008-Q4,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,0.5
2008-Q4,Working days lost per 1000 employees,Construction,,Number,A2540869W,4.6
2008-Q4,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,10.9
2008-Q4,Working days lost per 1000 employees,All industries,,Number,A2540874R,3.3
2009-Q1,Working days lost per 1000 employees,Coal mining,,Number,A2540871J,20.8
2009-Q1,Working days lost per 1000 employees,Other mining,,Number,A2540872K,0.3
2009-Q1,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,1.6
2009-Q1,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,2.6
2009-Q1,Working days lost per 1000 employees,Construction,,Number,A2540869W,6.1
2009-Q1,Working days lost per 1000 employees,"Transport, postal & warehousing",,Number,A2540867T,1.3
2009-Q1,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,0.1
2009-Q1,Working days lost per 1000 employees,Other industries,,Number,A2540868V,0.7
2009-Q1,Working days lost per 1000 employees,All industries,,Number,A2540874R,1.2
2009-Q2,Working days lost per 1000 employees,Coal mining,,Number,A2540871J,2.9
2009-Q2,Working days lost per 1000 employees,Other mining,,Number,A2540872K,0.1
2009-Q2,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,2.4
2009-Q2,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,1.3
2009-Q2,Working days lost per 1000 employees,Construction,,Number,A2540869W,10.6
2009-Q2,Working days lost per 1000 employees,"Transport, postal & warehousing",,Number,A2540867T,0.6
2009-Q2,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,16.8
2009-Q2,Working days lost per 1000 employees,Other industries,,Number,A2540868V,1.1
2009-Q2,Working days lost per 1000 employees,All industries,,Number,A2540874R,4.9
2009-Q3,Working days lost per 1000 employees,Metal product etc manufacturing,,Number,A2540870F,19.3
2009-Q3,Working days lost per 1000 employees,Other manufacturing,,Number,A2540873L,5.3
2009-Q3,Working days lost per 1000 employees,Construction,,Number,A2540869W,6.9
2009-Q3,Working days lost per 1000 employees,Education & training,health care & social assistance,Number,A2540866R,4.2
