reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
1985-Q1,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,59.5
1985-Q1,Working days lost per 1000 employees,Victoria,,Number,A2540890R,25.3
1985-Q1,Working days lost per 1000 employees,Queensland,,Number,A2540888C,191.9
1985-Q1,Working days lost per 1000 employees,South Australia,,Number,A2540891T,9.3
1985-Q1,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,28.8
1985-Q1,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,9.3
1985-Q1,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,25
1985-Q1,Working days lost per 1000 employees,Australia,,Number,A2540892V,59.8
1985-Q2,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,38.1
1985-Q2,Working days lost per 1000 employees,Victoria,,Number,A2540890R,39.8
1985-Q2,Working days lost per 1000 employees,Queensland,,Number,A2540888C,37.2
1985-Q2,Working days lost per 1000 employees,South Australia,,Number,A2540891T,7.2
1985-Q2,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,44.5
1985-Q2,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,34.1
1985-Q2,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,45.2
1985-Q2,Working days lost per 1000 employees,Australian Capital Territory,,Number,A2540887A,17.5
1985-Q2,Working days lost per 1000 employees,Australia,,Number,A2540892V,36
1985-Q3,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,58.6
1985-Q3,Working days lost per 1000 employees,Victoria,,Number,A2540890R,43.9
1985-Q3,Working days lost per 1000 employees,Queensland,,Number,A2540888C,124.9
1985-Q3,Working days lost per 1000 employees,South Australia,,Number,A2540891T,19
1985-Q3,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,64.7
1985-Q3,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,72.6
1985-Q3,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,101.8
1985-Q3,Working days lost per 1000 employees,Australian Capital Territory,,Number,A2540887A,50.7
1985-Q3,Working days lost per 1000 employees,Australia,,Number,A2540892V,62.6
1985-Q4,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,48.2
1985-Q4,Working days lost per 1000 employees,Victoria,,Number,A2540890R,123.4
1985-Q4,Working days lost per 1000 employees,Queensland,,Number,A2540888C,45.9
1985-Q4,Working days lost per 1000 employees,South Australia,,Number,A2540891T,11
1985-Q4,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,42.9
1985-Q4,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,22.6
1985-Q4,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,19.2
1985-Q4,Working days lost per 1000 employees,Australian Capital Territory,,Number,A2540887A,93.6
1985-Q4,Working days lost per 1000 employees,Australia,,Number,A2540892V,64.2
1986-Q1,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,62.1
1986-Q1,Working days lost per 1000 employees,Victoria,,Number,A2540890R,15.5
1986-Q1,Working days lost per 1000 employees,Queensland,,Number,A2540888C,28.1
1986-Q1,Working days lost per 1000 employees,South Australia,,Number,A2540891T,9.6
1986-Q1,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,21.2
1986-Q1,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,23
1986-Q1,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,70.1
1986-Q1,Working days lost per 1000 employees,Australian Capital Territory,,Number,A2540887A,12.9
1986-Q1,Working days lost per 1000 employees,Australia,,Number,A2540892V,34.3
1986-Q2,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,131
1986-Q2,Working days lost per 1000 employees,Victoria,,Number,A2540890R,64
1986-Q2,Working days lost per 1000 employees,Queensland,,Number,A2540888C,83.6
1986-Q2,Working days lost per 1000 employees,South Australia,,Number,A2540891T,44.1
1986-Q2,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,77.2
1986-Q2,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,100.3
1986-Q2,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,66.7
1986-Q2,Working days lost per 1000 employees,Australian Capital Territory,,Number,A2540887A,12.5
1986-Q2,Working days lost per 1000 employees,Australia,,Number,A2540892V,89.5
1986-Q3,Working days lost per 1000 employees,New South Wales,,Number,A2540889F,53.9
1986-Q3,Working days lost per 1000 employees,Victoria,,Number,A2540890R,40.3
1986-Q3,Working days lost per 1000 employees,Queensland,,Number,A2540888C,51.6
1986-Q3,Working days lost per 1000 employees,South Australia,,Number,A2540891T,19.4
1986-Q3,Working days lost per 1000 employees,Western Australia,,Number,A2540886X,109.3
1986-Q3,Working days lost per 1000 employees,Tasmania,,Number,A2540884V,30.6
1986-Q3,Working days lost per 1000 employees,Northern Territory,,Number,A2540885W,15.2
