reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
1985-Q1,Working days Lost,New South Wales,,000,A2540880K,115.7
1985-Q1,Working days Lost,Victoria,,000,A2540881L,38.1
1985-Q1,Working days Lost,Queensland,,000,A2540879A,157.5
1985-Q1,Working days Lost,South Australia,,000,A2540882R,4.5
1985-Q1,Working days Lost,Western Australia,,000,A2540877W,14.5
1985-Q1,Working days Lost,Tasmania,,000,A2540875T,1.4
1985-Q1,Working days Lost,Northern Territory,,000,A2540876V,1.4
1985-Q1,Working days Lost,Australia,,000,A2540883T,333.1
1985-Q2,Working days Lost,New South Wales,,000,A2540880K,73.9
1985-Q2,Working days Lost,Victoria,,000,A2540881L,60.4
1985-Q2,Working days Lost,Queensland,,000,A2540879A,31.6
1985-Q2,Working days Lost,South Australia,,000,A2540882R,3.5
1985-Q2,Working days Lost,Western Australia,,000,A2540877W,22.9
1985-Q2,Working days Lost,Tasmania,,000,A2540875T,5.2
1985-Q2,Working days Lost,Northern Territory,,000,A2540876V,2.7
1985-Q2,Working days Lost,Australian Capital Territory,,000,A2540878X,1.9
1985-Q2,Working days Lost,Australia,,000,A2540883T,202.1
1985-Q3,Working days Lost,New South Wales,,000,A2540880K,112.3
1985-Q3,Working days Lost,Victoria,,000,A2540881L,66.4
1985-Q3,Working days Lost,Queensland,,000,A2540879A,106.4
1985-Q3,Working days Lost,South Australia,,000,A2540882R,9.1
1985-Q3,Working days Lost,Western Australia,,000,A2540877W,32.7
1985-Q3,Working days Lost,Tasmania,,000,A2540875T,10.7
1985-Q3,Working days Lost,Northern Territory,,000,A2540876V,6.3
1985-Q3,Working days Lost,Australian Capital Territory,,000,A2540878X,5.5
1985-Q3,Working days Lost,Australia,,000,A2540883T,349.4
1985-Q4,Working days Lost,New South Wales,,000,A2540880K,96.8
1985-Q4,Working days Lost,Victoria,,000,A2540881L,190.9
1985-Q4,Working days Lost,Queensland,,000,A2540879A,40.7
1985-Q4,Working days Lost,South Australia,,000,A2540882R,5.5
1985-Q4,Working days Lost,Western Australia,,000,A2540877W,22.7
1985-Q4,Working days Lost,Tasmania,,000,A2540875T,3.4
1985-Q4,Working days Lost,Northern Territory,,000,A2540876V,1.2
1985-Q4,Working days Lost,Australian Capital Territory,,000,A2540878X,10.5
1985-Q4,Working days Lost,Australia,,000,A2540883T,371.6
1986-Q1,Working days Lost,New South Wales,,000,A2540880K,125.1
1986-Q1,Working days Lost,Victoria,,000,A2540881L,23.9
1986-Q1,Working days Lost,Queensland,,000,A2540879A,24.7
1986-Q1,Working days Lost,South Australia,,000,A2540882R,4.8
1986-Q1,Working days Lost,Western Australia,,000,A2540877W,11.4
1986-Q1,Working days Lost,Tasmania,,000,A2540875T,3.5
1986-Q1,Working days Lost,Northern Territory,,000,A2540876V,4.5
1986-Q1,Working days Lost,Australian Capital Territory,,000,A2540878X,1.5
1986-Q1,Working days Lost,Australia,,000,A2540883T,199.3
1986-Q2,Working days Lost,New South Wales,,000,A2540880K,265.3
1986-Q2,Working days Lost,Victoria,,000,A2540881L,100.7
1986-Q2,Working days Lost,Queensland,,000,A2540879A,74.6
1986-Q2,Working days Lost,South Australia,,000,A2540882R,22.2
1986-Q2,Working days Lost,Western Australia,,000,A2540877W,42.2
1986-Q2,Working days Lost,Tasmania,,000,A2540875T,15.3
1986-Q2,Working days Lost,Northern Territory,,000,A2540876V,4.5
1986-Q2,Working days Lost,Australian Capital Territory,,000,A2540878X,1.5
1986-Q2,Working days Lost,Australia,,000,A2540883T,526.3
1986-Q3,Working days Lost,New South Wales,,000,A2540880K,106.1
1986-Q3,Working days Lost,Victoria,,000,A2540881L,61.8
1986-Q3,Working days Lost,Queensland,,000,A2540879A,46.2
1986-Q3,Working days Lost,South Australia,,000,A2540882R,9.5
1986-Q3,Working days Lost,Western Australia,,000,A2540877W,57.8
1986-Q3,Working days Lost,Tasmania,,000,A2540875T,4.7
1986-Q3,Working days Lost,Northern Territory,,000,A2540876V,1
