Equal Opportunity SA (EOSA) Annual Report Data 2023-24,,,,,,,,,,
,,,,,,,,,,
"Equal Opportunity SA is a business unit of the Attorney-General's Department (AGD). Information on corporate and financial performance, risk management (including fraud detected and public interest disclosure), public complaints and audited financial statements can be found in the 2023-24 Annual Report for AGD.",,,,,,,,,,
,,,,,,,,,,
Whistleblower*,0,0,0,0,0,0,0,,,
Total of Areas,0,2,5,49,16,0,72,,,
"* Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Note: there may be more than one ground and area per complaint. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
Table 11: Accepted complaints by area – Employment,Employment,,,,,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Sexual Harassment,41,20,20,27,16,,,,,
Sex,18,15,6,7,9,,,,,
Victimisation,26,14,14,3,8,,,,,
Disability,26,21,12,24,7,,,,,
Race,14,9,8,5,4,,,,,
Age,12,10,6,7,2,,,,,
Gender Identity,4,0,1,3,1,,,,,
Caring Responsibilities,2,4,2,2,1,,,,,
Pregnancy,3,4,0,0,1,,,,,
Sexual Orientation,5,1,3,2,0,,,,,
Whistleblower *,5,0,3,2,0,,,,,
Association with a Child,1,0,0,1,0,,,,,
Identity of Spouse or Partner,5,0,2,0,0,,,,,
Aiding Unlawful Act,0,0,1,0,0,,,,,
Religious appearance or dress,0,0,1,0,0,,,,,
Marital Status,1,0,0,0,0,,,,,
Intersex Status,0,0,0,0,0,,,,,
Domestic Abuse,,,,,0,,,,,
Other,0,13,0,0,0,,,,,
Total,163,111,79,83,49,,,,,
"* Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Note: there may be more than one ground and area per complaint. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
Table 12: Accepted complaints by area – Goods and services ,Goods and services,,,,,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Disability,9,16,18,9,7,,,,,
Sex,7,3,1,5,2,,,,,
Association with a Child,0,2,1,0,2,,,,,
Race,6,4,4,1,1,,,,,
Victimisation,0,3,2,0,1,,,,,
Gender Identity,2,1,1,0,1,,,,,
Caring Responsibilities,0,1,1,0,1,,,,,
Marital Status,0,0,0,0,1,,,,,
Sexual Orientation,1,2,0,2,0,,,,,
Identity of Spouse or Partner,1,0,0,2,0,,,,,
Age,1,3,1,1,0,,,,,
Sexual Harassment,2,0,2,0,0,,,,,
Intersex Status,0,2,0,0,0,,,,,
Whistleblower *,0,0,0,0,0,,,,,
Pregnancy,0,0,0,0,0,,,,,
Religious appearance or dress,0,0,0,0,0,,,,,
Aiding Unlawful Act,0,0,0,0,0,,,,,
Domestic abuse,,,,,0,,,,,
Other,0,8,0,0,0,,,,,
Total,29,45,31,20,16,,,,,
"* Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Note: there may be more than one ground and area per complaint. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
"Table 13: Accepted complaints by area – Education, training, and qualification","Education, training and qualifications",,,,,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Sexual Harassment,3,2,0,0,2,,,,,
Disability,11,6,8,3,1,,,,,
Sex,1,1,1,1,1,,,,,
Age,3,0,0,0,1,,,,,
Victimisation,6,3,4,1,0,,,,,
Caring Responsibilities,1,2,3,1,0,,,,,
Race,4,1,2,1,0,,,,,
Gender Identity,5,0,1,1,0,,,,,
Identity of Spouse or Partner,2,0,0,1,0,,,,,
Marital Status,0,0,0,1,0,,,,,
Whistleblower *,0,0,0,0,0,,,,,
Aiding Unlawful Act,0,0,0,0,0,,,,,
Association with a Child,0,0,0,0,0,,,,,
Intersex Status,0,0,0,0,0,,,,,
Pregnancy,0,0,0,0,0,,,,,
Religious appearance or dress,0,0,0,0,0,,,,,
Sexual Orientation,0,0,0,0,0,,,,,
Domestic Abuse,,,,,0,,,,,
Other,0,5,0,0,0,,,,,
Total,36,20,19,10,5,,,,,
"* Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Note: there may be more than one ground and area per complaint. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
Table 14: Accepted complaints by area - Clubs and associations,Clubs and associations,,,,,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Sexual Harassment,0,0,0,0,1,,,,,
Sexual Orientation,0,0,0,0,1,,,,,
Disability,2,2,4,1,0,,,,,
Gender Identity,0,0,0,1,0,,,,,
Victimisation,1,2,0,0,0,,,,,
Race,0,1,0,0,0,,,,,
Age,0,0,0,0,0,,,,,
Caring Responsibilities,0,0,0,0,0,,,,,
Sex,0,0,0,0,0,,,,,
Whistleblower *,0,0,0,0,0,,,,,
Aiding Unlawful Act,0,0,0,0,0,,,,,
Association with a Child,0,0,0,0,0,,,,,
Identity of Spouse or Partner,0,0,0,0,0,,,,,
Intersex Status,0,0,0,0,0,,,,,
Marital Status,0,0,0,0,0,,,,,
Pregnancy,0,0,0,0,0,,,,,
Religious appearance or dress,0,0,0,0,0,,,,,
Domestic Abuse,,,,,0,,,,,
Other,0,1,0,0,0,,,,,
Total,3,6,4,2,2,,,,,
"* Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Note: there may be more than one ground and area per complaint. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
"Table 15: Accepted complaints by area – Housing, land, and accommodation",Housing/Land/Accommodation,,,,,,,,,
,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Disability,2,1,0,2,0,,,,,
Age,0,0,0,1,0,,,,,
Race,0,0,0,1,0,,,,,
Association with a Child,0,1,0,0,0,,,,,
Sex,0,1,0,0,0,,,,,
Sexual Harassment,0,0,0,0,0,,,,,
Victimisation,0,0,0,0,0,,,,,
Caring Responsibilities,0,0,0,0,0,,,,,
Gender Identity,0,0,0,0,0,,,,,
Pregnancy,0,0,0,0,0,,,,,
Whistleblower *,0,0,0,0,0,,,,,
Aiding Unlawful Act,0,0,0,0,0,,,,,
Identity of Spouse or Partner,0,0,0,0,0,,,,,
Intersex Status,0,0,0,0,0,,,,,
Marital Status,0,0,0,0,0,,,,,
Religious appearance or dress,0,0,0,0,0,,,,,
Sexual Orientation,0,0,0,0,0,,,,,
Domestic Abuse,,,,,0,,,,,
Other,0,0,0,0,0,,,,,
Total,2,3,0,4,0,,,,,
