STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,384645,22.06%,0.71%
VIC,436267,25.02%,0.59%
QLD,346720,19.89%,0.40%
SA,196026,11.24%,0.52%
WA,273550,15.69%,0.26%
TAS,53703,3.08%,0.48%
NT,13427,0.77%,0.09%
ACT,39014,2.24%,0.64%
TOTAL,1743352,100.00%,0.51%
