"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,4572,129320,223731,224310,183813,192354,958100,31.8%
VIC,5310,37772,63381,52484,41520,42612,243079,10.3%
QLD,4895,75942,80566,63088,39790,32731,297012,16.0%
SA,28777,60898,61250,59354,50562,52153,312994,45.4%
WA,2119,17551,50239,55217,44984,48494,218604,22.0%
TAS,612,4599,14786,16877,14846,16786,68506,32.9%
NT,168,623,1076,1070,637,364,3938,4.6%
ACT,655,2402,3785,3161,2283,2248,14534,9.4%
TOTAL,47108,329107,498814,475561,378435,387742,2116767,22.6%
