"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,1436,128890,221601,228398,197475,232585,1010385,34.7%
VIC,1588,26594,43754,39708,32713,36093,180450,8.0%
QLD,1364,82038,90092,67471,42674,37531,321170,17.7%
SA,31801,66745,65648,61907,53839,62253,342193,51.4%
WA,700,14907,49195,54890,46623,54387,220702,21.8%
TAS,180,3856,14875,16727,15695,19436,70769,34.8%
NT,42,315,772,988,683,414,3214,3.3%
ACT,187,1254,2510,2529,1989,1924,10393,6.9%
TOTAL,37298,324599,488447,472618,391691,444623,2159276,23.7%
