"STATE","Grand Total Intent Registrations","State % of Total Intent Registrations","% Variance from previous month"
NSW,1968518,45.98%,0.02%
VIC,427283,9.98%,0.21%
QLD,618184,14.44%,0.15%
SA,655281,15.31%,0.28%
WA,440595,10.29%,0.07%
TAS,139275,3.25%,0.07%
NT,7152,0.17%,0.39%
ACT,24927,0.58%,0.58%
TOTAL,4281215,100.00%,0.11%
