FinYear,FinYearTotal,FinYearTotalResolved,FinYearPercentage,Stream,StreamTotal,StreamTotalResolved,StreamPercentage,Act,ActTotal,ActTotalResolved,ActPercentage,Application,ApplicationTotal,ApplicationTotalResolved,ApplicationPercentage,Total,ResolvedConference
22-23,1728,1219,70.5%,Administrative and Disciplinary,3,1,33.3%,Community Housing Act,1,1,100.0%,Review of Community Housing Provider decision,1,1,100.0%,1,Y
22-23,1728,1219,70.5%,Administrative and Disciplinary,3,1,33.3%,Equal Opportunity Act,1,0,0.0%,Complaint (Equal Opportunity Act),1,0,0.0%,1,N
22-23,1728,1219,70.5%,Administrative and Disciplinary,3,1,33.3%,Valuation of Land Act,1,0,0.0%,Land valuation review,1,0,0.0%,1,N
22-23,1728,1219,70.5%,Community,5,0,0.0%,Guardianship (existing orders),1,0,0.0%,Request for variation or revocation of Guardianship Order,1,0,0.0%,1,N
22-23,1728,1219,70.5%,Community,5,0,0.0%,Guardianship and Administration,1,0,0.0%,Administration and/or Guardianship Order with/without Special Powers,1,0,0.0%,1,N
22-23,1728,1219,70.5%,Community,5,0,0.0%,Review - Automatic,3,0,0.0%,"Review of Administration, Guardianship and Special Powers",1,0,0.0%,1,N
22-23,1728,1219,70.5%,Community,5,0,0.0%,Review - Automatic,3,0,0.0%,Review of Guardianship and Special Powers,1,0,0.0%,1,N
22-23,1728,1219,70.5%,Community,5,0,0.0%,Review - Automatic,3,0,0.0%,Review of Special Powers,1,0,0.0%,1,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Housing Improvement Act (H&C),2,1,50.0%,Compensation,2,1,50.0%,1,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Housing Improvement Act (H&C),2,1,50.0%,Compensation,2,1,50.0%,1,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Parks,8,7,87.5%,Compensation or bond claim (Residential parks),5,5,100.0%,5,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Parks,8,7,87.5%,Hardship (Parks),3,2,66.7%,1,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Parks,8,7,87.5%,Hardship (Parks),3,2,66.7%,2,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Bond Dispute Referral,1,1,100.0%,1,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Compensation or bond claim,1554,1102,70.9%,452,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Compensation or bond claim,1554,1102,70.9%,1102,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Domestic Violence,1,1,100.0%,1,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Frustration,6,1,16.7%,5,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Frustration,6,1,16.7%,1,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Hardship or domestic violence,13,8,61.5%,5,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Hardship or domestic violence,13,8,61.5%,8,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",2,2,100.0%,2,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Return of goods,1,1,100.0%,1,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",32,22,68.8%,10,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",32,22,68.8%,22,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Vacant possession (breach, end of lease or non-compliance)",43,31,72.1%,12,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Vacant possession (breach, end of lease or non-compliance)",43,31,72.1%,31,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Resolution of dispute between resident and administering authority,9,3,33.3%,6,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Resolution of dispute between resident and administering authority,9,3,33.3%,3,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Retirement Village Rules,1,1,100.0%,1,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Termination and/or possession,2,2,100.0%,2,Y
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Rooming House,43,33,76.7%,Compensation or bond claim (Rooming House),43,33,76.7%,10,N
22-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Rooming House,43,33,76.7%,Compensation or bond claim (Rooming House),43,33,76.7%,33,Y
22-23,1728,1219,70.5%,Procedural,1,1,100.0%,Procedural,1,1,100.0%,Procedural (other),1,1,100.0%,1,Y
22-23,1728,1219,70.5%,SACAT Internal Review,1,1,100.0%,Internal Review Housing & Civil,1,1,100.0%,Internal Review of Decision (Housing & Civil),1,1,100.0%,1,Y

