FinYear,FinYearTotal,Act,ActTotal,Application,TypeTotal,Total
22-23,6959,Housing Improvement Act,1,Review a Housing Improvement Order,1,1
22-23,6959,Housing Improvement Act (H&C),15,Apportion costs of work undertaken pursuant to HIA order,1,1
22-23,6959,Housing Improvement Act (H&C),15,Compensation,9,9
22-23,6959,Housing Improvement Act (H&C),15,Exemption from the Act,2,2
22-23,6959,Housing Improvement Act (H&C),15,Vary or set aside a HIA notice or order,3,3
22-23,6959,Procedural,1,Application for review due to non-attendance at hearing,1,1
22-23,6959,Residential Parks,42,Compensation or bond claim (Residential parks),8,8
22-23,6959,Residential Parks,42,Hardship (Parks),16,16
22-23,6959,Residential Parks,42,"Termination and/or possession (conduct, illegal use of premises or abandonment) (Parks)",4,4
22-23,6959,Residential Parks,42,"Vacant Possession (breach, end of lease or non-compliance) (Parks)",14,14
22-23,6959,Residential Tenancy,6744,Bond Dispute Referral,1,1
22-23,6959,Residential Tenancy,6744,Compensation or bond claim,2391,2391
22-23,6959,Residential Tenancy,6744,Domestic Violence,20,20
22-23,6959,Residential Tenancy,6744,Frustration,71,71
22-23,6959,Residential Tenancy,6744,Hardship or domestic violence,323,323
22-23,6959,Residential Tenancy,6744,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",9,9
22-23,6959,Residential Tenancy,6744,Return of goods,20,20
22-23,6959,Residential Tenancy,6744,"Termination and/or possession (conduct, illegal use of premises or abandonment)",257,257
22-23,6959,Residential Tenancy,6744,"Vacant possession (breach, end of lease or non-compliance)",3652,3652
22-23,6959,Retirement Villages,21,Resolution of dispute between resident and administering authority,11,11
22-23,6959,Retirement Villages,21,Retirement Village Rules,2,2
22-23,6959,Retirement Villages,21,Termination and/or possession,4,4
22-23,6959,Retirement Villages,21,Vacant possession (breach or other),4,4
22-23,6959,Rooming House,135,Compensation or bond claim (Rooming House),57,57
22-23,6959,Rooming House,135,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment) (Parks)",28,28
22-23,6959,Rooming House,135,"Vacant possession (breach, end of lease or frustration)",50,50

