FinYear,FinYearTotal,Application,TypeTotal,Percentage,Total
22-23,606,Application for an Exemption from a Provision of the Equal Opportunity Act,6,1.0%,6
22-23,606,Application for review of a control order made by a council,11,1.8%,11
22-23,606,Application for review of Police Superannuation Board decision,1,0.2%,1
22-23,606,Application for review of Registrar's Decision,4,0.7%,4
22-23,606,Application for review of Southern State Superannuation Board decision,3,0.5%,3
22-23,606,Application for review of superannuation board decision,5,0.8%,5
22-23,606,Application to change name of child,169,27.9%,169
22-23,606,Application to register the change of a child's sex or gender identity,11,1.8%,11
22-23,606,Application to resolve dispute between parents,3,0.5%,3
22-23,606,Application to restore a member whose office becomes vacant for failure to submit a return,42,6.9%,42
22-23,606,Application to review a decision of a person to refuse to release a dog or cat that is being detained,2,0.3%,2
22-23,606,Application to review a destruction order made by a council,16,2.6%,16
22-23,606,Complaint (Equal Opportunity Act),27,4.5%,27
22-23,606,Complaint (Health Practitioners),24,4.0%,24
22-23,606,Complaint (Local Government Act),2,0.3%,2
22-23,606,Complaint (Second-Hand Vehicle Dealers Act),1,0.2%,1
22-23,606,Complaint (Survey Act),1,0.2%,1
22-23,606,Complaint (Veterinary Practice Act),1,0.2%,1
22-23,606,Land valuation review,37,6.1%,37
22-23,606,Review a decision made by Registrar of Firearms - other,13,2.1%,13
22-23,606,Review a decision not to provide assistance to a child for the purposes of assisting a child in transitioning from care,1,0.2%,1
22-23,606,Review a decision of a council to alter the rate assessment record,1,0.2%,1
22-23,606,"Review a decision of a Council to order a person to fence, empty, drain, fill or cover land where a hazard exists",1,0.2%,1
22-23,606,Review a decision of a Council to order a person to take action necessary to protect a road or remove a hazard to road users,1,0.2%,1
22-23,606,Review a decision of a licensing authority made under the Supported Residential Facilities Act 1992,1,0.2%,1
22-23,606,Review a decision of a national health practitioner board,10,1.7%,10
22-23,606,Review a decision of the authorised officer to issue a notice under Part 6 of the Dangerous Substances Act ,1,0.2%,1
22-23,606,Review a decision of the Central Assessment Unit to cancel or suspend an NDIS worker clearance ,4,0.7%,4
22-23,606,Review a decision of the Central Assessment Unit to issue an NDIS worker exemption ,2,0.3%,2
22-23,606,Review a decision of the Central Assessment Unit to issue or revoke a Prohibition Notice,42,6.9%,42
22-23,606,Review a decision of the Chief Executive relating to accreditation of planning and building professionals,1,0.2%,1
22-23,606,Review a decision of the Commissioner refusing an application for a building work contractor licence,3,0.5%,3
22-23,606,Review a decision of the Commissioner refusing an application for a building work supervisor registration,5,0.8%,5
22-23,606,Review a decision of the Commissioner to disqualify a person from providing tattoo services,1,0.2%,1
22-23,606,"Review a decision of the Commissioner to suspend, cancel or impose conditions on a licence or registration",1,0.2%,1
22-23,606,"Review a decision of the Competent Authority not to grant an exemption, or to impose a particular condition on an exemption",1,0.2%,1
22-23,606,"Review a decision of the Competent Authority relating to a licence, accreditation or permit ",2,0.3%,2
22-23,606,Review a Decision of the Equal Opportunity Commissioner Refusing an application to Extend the time to Lodge a Complaint,2,0.3%,2
22-23,606,Review a decision of the Registrar of Motor Vehicles relating to drivers licences,12,2.0%,12
22-23,606,Review a decision of the Registrar of Motor Vehicles relating to Driving Instructor Licence,2,0.3%,2
22-23,606,Review a decision of the Registrar of Motor Vehicles relating to the registration of motor vehicles,2,0.3%,2
22-23,606,Review a decision of the Technical Regulator relating to water supply,1,0.2%,1
22-23,606,Review a decision regarding placement of a child ,16,2.6%,16
22-23,606,"Review a decision relating to a firearms licence, permit or registration ",25,4.1%,25
22-23,606,Review a decision relating to the approval of carers,1,0.2%,1
22-23,606,"Review a decision that relates to a fishing licence, registration or permit",2,0.3%,2
22-23,606,Review a notice issued by a relevant authority under the South Australian Public Health Act ,2,0.3%,2
22-23,606,Review of a decision of a Council attributing a land use for the purposes of levying differential rates,1,0.2%,1
22-23,606,Review of a decision of an expert review panel,1,0.2%,1
22-23,606,Review of a decision to attribute land use to land,1,0.2%,1
22-23,606,Review of Community Housing Provider decision,16,2.6%,16
22-23,606,Review of compliance orders,1,0.2%,1
22-23,606,Review of decision not to prepare an assessment report,1,0.2%,1
22-23,606,Review of decision to transfer a registration,2,0.3%,2
22-23,606,Review of government/local government agency determination,4,0.7%,4
22-23,606,Review of housing SA decision,31,5.1%,31
22-23,606,Review of land valuation decision,3,0.5%,3
22-23,606,Review of Ombudsman's determination,14,2.3%,14
22-23,606,Review of other Government decision,5,0.8%,5
22-23,606,Review of the Treasurer's decision,4,0.7%,4

