FinYear,FinYearTotal,ApplicationType,TypeTotal,Total
22-23,456,Application for Internal Review (SACAT Act),3,3
22-23,456,Internal Review of Administration Order,17,17
22-23,456,Internal Review of Bond/Compensation,24,24
22-23,456,Internal Review of Decision (Guardianship and Administration),62,62
22-23,456,Internal Review of Decision (Housing & Civil),149,149
22-23,456,Internal Review of Decision (Mental Health),21,21
22-23,456,Internal Review of Guardianship & Administration Act Order (Other),1,1
22-23,456,Internal Review of Guardianship & Administration Order,4,4
22-23,456,Internal Review of Guardianship Order,9,9
22-23,456,Internal Review of Level 2 Community Treatment Order (Mental Health Act),22,22
22-23,456,Internal Review of Mental Health Act Order (Other),1,1
22-23,456,Internal Review of Residential Tenancies Act Order (other),7,7
22-23,456,Internal Review of Section 90 Residential Tenancies Act Order - Tenant Conduct,13,13
22-23,456,Internal Review of Special Powers Order,3,3
22-23,456,Internal Review of Vacant Possession Order,120,120

