FinYear,FinYearTotal,Type,TypeTotal,Percentage,Total
22-23,4872,Administration (existing orders),630,12.9%,630
22-23,4872,Advance Care Directives,103,2.1%,103
22-23,4872,Consent to Medical Treatment & Palliative Care,1,0.0%,1
22-23,4872,Guardianship (existing orders),889,18.2%,889
22-23,4872,Guardianship and Administration,1807,37.1%,1807
22-23,4872,Mental Health,1409,28.9%,1409
22-23,4872,Mental Health Review,31,0.6%,31
22-23,4872,Prescribed medical treatment,2,0.0%,2

