STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,399469,22.32%,0.60%
VIC,448915,25.09%,0.44%
QLD,353337,19.74%,0.33%
SA,203360,11.36%,0.47%
WA,276873,15.47%,0.21%
TAS,54351,3.04%,0.20%
NT,13463,0.75%,0.22%
ACT,39816,2.23%,0.33%
TOTAL,1789584,100.00%,0.41%
