STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,345774,21.59%,0.39%
VIC,396678,24.75%,0.54%
QLD,326511,20.38%,0.31%
SA,172298,10.76%,0.73%
WA,262823,16.41%,0.29%
TAS,49684,3.10%,0.71%
NT,12909,0.81%,0.30%
ACT,35197,2.20%,0.62%
TOTAL,1601874,100.00%,0.45%
