STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,316782,22.25%,0.49%
VIC,343426,24.12%,0.61%
QLD,300450,21.10%,0.52%
SA,144849,10.17%,0.77%
WA,233169,16.38%,0.66%
TAS,44193,3.10%,0.30%
NT,11149,0.78%,0.96%
ACT,29704,2.09%,0.95%
TOTAL,1423722,100.00%,0.59%
