FinYear,FinYearTotal,Application,TypeTotal,Percentage,Total
20-21,544,Application for an Exemption from a Provision of the Equal Opportunity Act,3,0.60%,3
20-21,544,Application for declaration of Putative Spouse,2,0.40%,2
20-21,544,Application for review of a control order made by a council,12,2.20%,12
20-21,544,Application for review of Southern State Superannuation Board decision,4,0.70%,4
20-21,544,Application for review of superannuation board decision,7,1.30%,7
20-21,544,Application to change name of child,193,35.50%,193
20-21,544,Application to register the change of a child's sex or gender identity,15,2.80%,15
20-21,544,Application to resolve dispute between parents,4,0.70%,4
20-21,544,Application to restore a member whose office becomes vacant for failure to submit a return,2,0.40%,2
20-21,544,Application to review a destruction order made by a council,8,1.50%,8
20-21,544,Application to review a prohibition order made by a council,2,0.40%,2
20-21,544,Complaint (Architectural Practice Act),1,0.20%,1
20-21,544,Complaint (Equal Opportunity Act),23,4.20%,23
20-21,544,Complaint (Health Practitioners),20,3.70%,20
20-21,544,Complaint (Land Agents Act),1,0.20%,1
20-21,544,Complaint (Local Government Act),1,0.20%,1
20-21,544,"Complaint (Plumbers, Gas Fitters and Electricians Act)",1,0.20%,1
20-21,544,Complaint (Second-Hand Vehicle Dealers Act),2,0.40%,2
20-21,544,Land valuation review,24,4.40%,24
20-21,544,Review a decision made by Registrar of Firearms - other,4,0.70%,4
20-21,544,Review a decision not to provide assistance to a child for the purposes of assisting a child in transitioning from care,1,0.20%,1
20-21,544,Review a decision of a council to alter the rate assessment record,1,0.20%,1
20-21,544,Review a decision of a Council to order a person to take action necessary to protect a road or remove a hazard to road users,2,0.40%,2
20-21,544,Review a decision of a national health practitioner board,9,1.70%,9
20-21,544,Review a decision of the Central Assessment Unit to issue or revoke a Prohibition Notice,21,3.90%,21
20-21,544,Review a decision of the Chief Executive relating to accreditation of planning and building professionals,2,0.40%,2
20-21,544,Review a decision of the Commissioner for Consumer Affairs relating to Land Agents,2,0.40%,2
20-21,544,Review a decision of the Commissioner refusing an application for a building work contractor licence,1,0.20%,1
20-21,544,Review a decision of the Commissioner refusing an application for a building work supervisor registration,2,0.40%,2
20-21,544,"Review a decision of the Commissioner to suspend, cancel or impose conditions on a licence or registration",2,0.40%,2
20-21,544,Review a Decision of the Equal Opportunity Commissioner Refusing an application to Extend the time to Lodge a Complaint,2,0.40%,2
20-21,544,Review a decision of the Minister regarding permits to take protected animals,3,0.60%,3
20-21,544,Review a decision of the Registrar of Motor Vehicles relating to drivers licences,11,2.00%,11
20-21,544,Review a decision of the Registrar of Motor Vehicles relating to the registration of motor vehicles,3,0.60%,3
20-21,544,Review a decision regarding placement of a child ,12,2.20%,12
20-21,544,"Review a decision relating to a firearms licence, permit or registration ",34,6.30%,34
20-21,544,Review a decision relating to the approval of carers,6,1.10%,6
20-21,544,Review a decision relating to the provision of financial or other assistance to an approved carer or other person caring for a child,1,0.20%,1
20-21,544,Review a decision requiring a person to take steps to preserve a historic shipwreck or relic,1,0.20%,1
20-21,544,"Review a decision that relates to a fishing licence, registration or permit",1,0.20%,1
20-21,544,Review a decision to direct a specified person not to harbour or conceal (or assist another person to harbour or conceal) a child or young person,1,0.20%,1
20-21,544,Review a decision to make a temporary placement of a child or young person in the care of a person who is not an approved carer,1,0.20%,1
20-21,544,Review a Firearms Prohibition Order,2,0.40%,2
20-21,544,Review a notice issued by a relevant authority under the South Australian Public Health Act ,1,0.20%,1
20-21,544,Review of a decision to attribute land use to land,6,1.10%,6
20-21,544,Review of an act/decision of the Corporate Affairs Commission,2,0.40%,2
20-21,544,Review of Community Housing Provider decision,11,2.00%,11
20-21,544,Review of government/local government agency determination,22,4.00%,22
20-21,544,Review of housing SA decision,28,5.10%,28
20-21,544,Review of land valuation decision,2,0.40%,2
20-21,544,Review of Ombudsman's determination,16,2.90%,16
20-21,544,Review of other Government decision,3,0.60%,3
20-21,544,Review of the Treasurer's decision,3,0.60%,3
