FinYear,FinYearTotal,Application,TypeTotal,Percentage,Total
20-21,7967,Application for review due to non-attendance at hearing,2,0.00%,2
20-21,7967,Compensation,13,0.20%,13
20-21,7967,Compensation or bond claim,2737,34.40%,2737
20-21,7967,Compensation or bond claim (Residential parks),7,0.10%,7
20-21,7967,Compensation or bond claim (Rooming House),57,0.70%,57
20-21,7967,Domestic Violence,18,0.20%,18
20-21,7967,Exemption from the Act,1,0.00%,1
20-21,7967,Frustration,49,0.60%,49
20-21,7967,Hardship,7,0.10%,7
20-21,7967,Hardship or domestic violence,251,3.20%,251
20-21,7967,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",14,0.20%,14
20-21,7967,House rules,4,0.10%,4
20-21,7967,Resolution of dispute between resident and administering authority,32,0.40%,32
20-21,7967,Retirement Village Rules,3,0.00%,3
20-21,7967,Return of goods,41,0.50%,41
20-21,7967,Review of fees and charges,7,0.10%,7
20-21,7967,Termination and/or possession,3,0.00%,3
20-21,7967,"Termination and/or possession (conduct, illegal use of premises or abandonment)",367,4.60%,367
20-21,7967,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",18,0.20%,18
20-21,7967,testing,2,0.00%,2
20-21,7967,Vacant possession (breach or other),5,0.10%,5
20-21,7967,"Vacant possession (breach, end of lease or frustration)",43,0.50%,43
20-21,7967,"Vacant possession (breach, end of lease or non-compliance)",4283,53.80%,4283
20-21,7967,Vary or set aside a previous order,3,0.00%,3
