FinYear,FinYearTotal,Type,TypeTotal,Total
20-21,3751,Review of a Level 1 Inpatient Treatment Order,8,8
20-21,3751,Review of a Level 2 Inpatient Treatment Order extension,96,96
20-21,3751,Reviews pursunat to s 57,3647,3647
