STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,234,10768,25340,31412,28185,30356,31806,158101,5.75%
VIC,497,18450,31777,32751,27502,24082,20842,155901,7.51%
QLD,449,13409,23385,25770,25874,24485,20165,133537,8.35%
SA,3418,7194,7539,8673,8807,9595,10258,55484,8.73%
WA,246,11735,18140,18720,17626,15173,12468,94108,11.62%
TAS,84,1958,2812,3191,3605,3396,2569,17615,8.93%
NT,21,642,1477,1355,926,581,250,5252,7.37%
ACT,55,1459,2715,2333,1994,1737,1263,11556,8.68%
TOTAL,5004,65615,113185,124205,114519,109405,99621,631554,7.64%
