STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,268266,25.38%,1.39%
VIC,257666,24.38%,1.84%
QLD,223832,21.18%,1.57%
SA,95265,9.01%,1.49%
WA,155549,14.72%,1.97%
TAS,29063,2.75%,3.01%
NT,8305,0.79%,2.62%
ACT,19075,1.80%,2.71%
TOTAL,1057021,100.00%,1.71%
