Community,EPBC Status,ID,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Profile,Date extracted
Castlereagh Scribbly Gum and Agnes Banks Woodlands of the Sydney Basin Bioregion,Endangered,119,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=119,2026-Mar-20
Central Hunter Valley eucalypt forest and woodland,Critically Endangered,130,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=130,2026-Mar-20
Clay Pans of the Swan Coastal Plain,Critically Endangered,121,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=121,2026-Mar-20
Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community,Endangered,142,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=142,2026-Mar-20
Coastal Swamp Sclerophyll Forest of New South Wales and South East Queensland,Endangered,171,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=171,2026-Mar-20
Coastal Upland Swamps in the Sydney Basin Bioregion,Endangered,140,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=140,2026-Mar-20
Cooks River/Castlereagh Ironbark Forest of the Sydney Basin Bioregion,Critically Endangered,129,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=129,2026-Mar-20
Coolibah - Black Box Woodlands of the Darling Riverine Plains and the Brigalow Belt South Bioregions,Endangered,66,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=66,2026-Mar-20
Corymbia calophylla - Kingia australis woodlands on heavy soils of the Swan Coastal Plain,Endangered,17,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=17,2026-Mar-20
Corymbia calophylla - Xanthorrhoea preissii woodlands and shrublands of the Swan Coastal Plain,Endangered,18,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=18,2026-Mar-20
Cumberland Plain Shale Woodlands and Shale-Gravel Transition Forest,Critically Endangered,112,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=112,2026-Mar-20
Drooping sheoak grassy woodland on calcrete of the Eyre Yorke Block Bioregion,Critically Endangered,172,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=172,2026-Mar-20
Dry rainforests of south-east New South Wales and eastern Victoria,Critically Endangered,189,-,Yes,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=189,2026-Mar-20
Dunn's white gum (Eucalyptus dunnii) moist forest in north-east New South Wales and south-east Queensland,Endangered,178,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=178,2026-Mar-20
Eastern Stirling Range Montane Heath and Thicket,Endangered,13,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=13,2026-Mar-20
Eastern Suburbs Banksia Scrub of the Sydney Region,Critically Endangered,2,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=2,2026-Mar-20
Elderslie Banksia Scrub Forest in the Sydney Basin Bioregion,Critically Endangered,145,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=145,2026-Mar-20
Empodisma peatlands of southwestern Australia,Endangered,174,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=174,2026-Mar-20
Eucalypt Woodlands of the Western Australian Wheatbelt,Critically Endangered,128,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=128,2026-Mar-20
Eucalyptus ovata - Callitris oblonga Forest,Vulnerable,40,-,-,-,-,-,Yes,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=40,2026-Mar-20
Eyre Peninsula Blue Gum (Eucalyptus petiolaris) Woodland,Endangered,124,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=124,2026-Mar-20
Giant Kelp Marine Forests of South East Australia,Endangered,107,-,-,-,-,Yes,Yes,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=107,2026-Mar-20
Gippsland Red Gum (Eucalyptus tereticornis subsp. mediana) Grassy Woodland and Associated Native Grassland,Critically Endangered,73,-,-,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=73,2026-Mar-20
Grassy Eucalypt Woodland of the Victorian Volcanic Plain,Critically Endangered,46,-,-,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=46,2026-Mar-20
Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia,Endangered,86,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=86,2026-Mar-20
Grey box-grey gum wet forest of subtropical eastern Australia,Endangered,181,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=181,2026-Mar-20
Honeymyrtle shrubland on limestone ridges of the Swan Coastal Plain Bioregion,Critically Endangered,182,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=182,2026-Mar-20
Hunter Valley Weeping Myall (Acacia pendula) Woodland,Critically Endangered,44,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=44,2026-Mar-20
Illawarra and south coast lowland forest and woodland ecological community,Critically Endangered,144,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=144,2026-Mar-20
Illawarra-Shoalhaven shrublands on volcanic outcrops,Critically Endangered,186,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=186,2026-Mar-20
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Critically Endangered,148,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=148,2026-Mar-20
Iron-grass Natural Temperate Grassland of South Australia,Critically Endangered,37,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=37,2026-Mar-20
Kangaroo Island Narrow-leaved Mallee (Eucalyptus cneorifolia) Woodland,Critically Endangered,102,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=102,2026-Mar-20
Karst springs and associated alkaline fens of the Naracoorte Coastal Plain Bioregion,Endangered,149,-,-,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=149,2026-Mar-20
