STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,359275,21.71%,0.57%
VIC,411481,24.86%,0.40%
QLD,334149,20.19%,0.31%
SA,181522,10.97%,0.57%
WA,266813,16.12%,0.17%
TAS,52029,3.14%,0.24%
NT,13140,0.79%,0.24%
ACT,36754,2.22%,0.58%
TOTAL,1655163,100.00%,0.40%
