date,state_code,state_name,registration_type,sex,registrations
2007-03-01,WA,Western Australia,Consent,Female,81630
2007-03-01,ACT,Australian Capital Territory,Consent,Male,6184
2007-03-01,NSW,New South Wales,Consent,Male,94931
2007-03-01,NT,Northern Territory,Consent,Male,2024
2007-03-01,QLD,Queensland,Consent,Male,79591
2007-03-01,SA,South Australia,Consent,Male,36238
2007-03-01,TAS,Tasmania,Consent,Male,9120
2007-03-01,VIC,Victoria,Consent,Male,87755
2007-03-01,WA,Western Australia,Consent,Male,54759
2007-03-01,ACT,Australian Capital Territory,Consent,Total,15563
2007-03-01,NSW,New South Wales,Consent,Total,222722
2007-03-01,NT,Northern Territory,Consent,Total,5048
2007-03-01,QLD,Queensland,Consent,Total,194105
2007-03-01,SA,South Australia,Consent,Total,85193
2007-03-01,TAS,Tasmania,Consent,Total,22956
2007-03-01,VIC,Victoria,Consent,Total,217080
2007-03-01,WA,Western Australia,Consent,Total,136389
2007-03-01,ACT,Australian Capital Territory,Intent,Female,18289
2007-03-01,NSW,New South Wales,Intent,Female,1095248
2007-03-01,NT,Northern Territory,Intent,Female,6141
2007-03-01,QLD,Queensland,Intent,Female,345530
2007-03-01,SA,South Australia,Intent,Female,304077
2007-03-01,TAS,Tasmania,Intent,Female,87856
2007-03-01,VIC,Victoria,Intent,Female,291331
2007-03-01,WA,Western Australia,Intent,Female,289385
2007-03-01,ACT,Australian Capital Territory,Intent,Male,12730
2007-03-01,NSW,New South Wales,Intent,Male,1113444
2007-03-01,NT,Northern Territory,Intent,Male,4291
2007-03-01,QLD,Queensland,Intent,Male,357208
2007-03-01,SA,South Australia,Intent,Male,288494
2007-03-01,TAS,Tasmania,Intent,Male,85877
2007-03-01,VIC,Victoria,Intent,Male,206814
2007-03-01,WA,Western Australia,Intent,Male,268851
2007-03-01,ACT,Australian Capital Territory,Intent,Total,31019
2007-03-01,NSW,New South Wales,Intent,Total,2208729
2007-03-01,NT,Northern Territory,Intent,Total,10434
2007-03-01,QLD,Queensland,Intent,Total,702740
2007-03-01,SA,South Australia,Intent,Total,592873
2007-03-01,TAS,Tasmania,Intent,Total,173733
2007-03-01,VIC,Victoria,Intent,Total,502391
2007-03-01,WA,Western Australia,Intent,Total,559701
2007-04-01,ACT,Australian Capital Territory,Consent,Female,9379
2007-04-01,NSW,New South Wales,Consent,Female,127791
2007-04-01,NT,Northern Territory,Consent,Female,3024
2007-04-01,QLD,Queensland,Consent,Female,114514
2007-04-01,SA,South Australia,Consent,Female,48955
2007-04-01,TAS,Tasmania,Consent,Female,13836
2007-04-01,VIC,Victoria,Consent,Female,129325
2007-04-01,WA,Western Australia,Consent,Female,81630
2007-04-01,ACT,Australian Capital Territory,Consent,Male,6184
2007-04-01,NSW,New South Wales,Consent,Male,94931
2007-04-01,NT,Northern Territory,Consent,Male,2024
2007-04-01,QLD,Queensland,Consent,Male,79591
2007-04-01,SA,South Australia,Consent,Male,36238
2007-04-01,TAS,Tasmania,Consent,Male,9120
2007-04-01,VIC,Victoria,Consent,Male,87755
