snapshot_date,registration_type,state_code,state_name,sex,age_group,registrations,pct_of_national_registrations,pct_of_abs_population
2026-05-31,Consent,NSW,New South Wales,Total,All ages,999981,27.54%,
2026-05-31,Consent,VIC,Victoria,Total,All ages,873295,24.05%,
2026-05-31,Consent,QLD,Queensland,Total,All ages,771415,21.24%,
2026-05-31,Consent,SA,South Australia,Total,All ages,347730,9.58%,
2026-05-31,Consent,WA,Western Australia,Total,All ages,439224,12.09%,
2026-05-31,Consent,TAS,Tasmania,Total,All ages,97636,2.69%,
2026-05-31,Consent,NT,Northern Territory,Total,All ages,22814,0.62%,
2026-05-31,Consent,ACT,Australian Capital Territory,Total,All ages,79534,2.19%,
2026-05-31,Consent,NSW,New South Wales,Female,16-17,400,,
2026-05-31,Consent,NSW,New South Wales,Female,18-24,21844,,
2026-05-31,Consent,NSW,New South Wales,Female,25-34,94563,,
2026-05-31,Consent,NSW,New South Wales,Female,35-44,127059,,
2026-05-31,Consent,NSW,New South Wales,Female,45-54,121876,,
2026-05-31,Consent,NSW,New South Wales,Female,55-64,107586,,
2026-05-31,Consent,NSW,New South Wales,Female,65+,152724,,
2026-05-31,Consent,NSW,New South Wales,Female,All ages,626052,,17.7%
2026-05-31,Consent,VIC,Victoria,Female,16-17,371,,
2026-05-31,Consent,VIC,Victoria,Female,18-24,19543,,
2026-05-31,Consent,VIC,Victoria,Female,25-34,89341,,
2026-05-31,Consent,VIC,Victoria,Female,35-44,128046,,
2026-05-31,Consent,VIC,Victoria,Female,45-54,108714,,
2026-05-31,Consent,VIC,Victoria,Female,55-64,87582,,
2026-05-31,Consent,VIC,Victoria,Female,65+,120036,,
2026-05-31,Consent,VIC,Victoria,Female,All ages,553633,,18.8%
2026-05-31,Consent,QLD,Queensland,Female,16-17,364,,
2026-05-31,Consent,QLD,Queensland,Female,18-24,17308,,
2026-05-31,Consent,QLD,Queensland,Female,25-34,76392,,
2026-05-31,Consent,QLD,Queensland,Female,35-44,106779,,
2026-05-31,Consent,QLD,Queensland,Female,45-54,99087,,
2026-05-31,Consent,QLD,Queensland,Female,55-64,83785,,
2026-05-31,Consent,QLD,Queensland,Female,65+,112486,,
2026-05-31,Consent,QLD,Queensland,Female,All ages,496201,,21.2%
2026-05-31,Consent,SA,South Australia,Female,16-17,2246,,
2026-05-31,Consent,SA,South Australia,Female,18-24,7529,,
2026-05-31,Consent,SA,South Australia,Female,25-34,33968,,
2026-05-31,Consent,SA,South Australia,Female,35-44,41816,,
2026-05-31,Consent,SA,South Australia,Female,45-54,35374,,
2026-05-31,Consent,SA,South Australia,Female,55-64,33889,,
2026-05-31,Consent,SA,South Australia,Female,65+,56102,,
2026-05-31,Consent,SA,South Australia,Female,All ages,210924,,26.4%
2026-05-31,Consent,WA,Western Australia,Female,16-17,223,,
2026-05-31,Consent,WA,Western Australia,Female,18-24,7742,,
2026-05-31,Consent,WA,Western Australia,Female,25-34,36595,,
2026-05-31,Consent,WA,Western Australia,Female,35-44,63576,,
2026-05-31,Consent,WA,Western Australia,Female,45-54,55341,,
2026-05-31,Consent,WA,Western Australia,Female,55-64,47261,,
2026-05-31,Consent,WA,Western Australia,Female,65+,64607,,
2026-05-31,Consent,WA,Western Australia,Female,All ages,275345,,22.4%
2026-05-31,Consent,TAS,Tasmania,Female,16-17,52,,
2026-05-31,Consent,TAS,Tasmania,Female,18-24,1924,,
2026-05-31,Consent,TAS,Tasmania,Female,25-34,8712,,
2026-05-31,Consent,TAS,Tasmania,Female,35-44,12807,,
2026-05-31,Consent,TAS,Tasmania,Female,45-54,11845,,
2026-05-31,Consent,TAS,Tasmania,Female,55-64,11322,,
2026-05-31,Consent,TAS,Tasmania,Female,65+,16303,,
2026-05-31,Consent,TAS,Tasmania,Female,All ages,62965,,25.9%
2026-05-31,Consent,NT,Northern Territory,Female,16-17,21,,
2026-05-31,Consent,NT,Northern Territory,Female,18-24,484,,
2026-05-31,Consent,NT,Northern Territory,Female,25-34,2766,,
2026-05-31,Consent,NT,Northern Territory,Female,35-44,3969,,
2026-05-31,Consent,NT,Northern Territory,Female,45-54,3063,,
2026-05-31,Consent,NT,Northern Territory,Female,55-64,2396,,
2026-05-31,Consent,NT,Northern Territory,Female,65+,2013,,
2026-05-31,Consent,NT,Northern Territory,Female,All ages,14712,,14.6%
2026-05-31,Consent,ACT,Australian Capital Territory,Female,16-17,72,,
2026-05-31,Consent,ACT,Australian Capital Territory,Female,18-24,2025,,
2026-05-31,Consent,ACT,Australian Capital Territory,Female,25-34,8796,,
2026-05-31,Consent,ACT,Australian Capital Territory,Female,35-44,11890,,
2026-05-31,Consent,ACT,Australian Capital Territory,Female,45-54,9664,,
