STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1974846,46.26%,-0.02%
VIC,426466,9.99%,0.05%
QLD,617537,14.46%,0.07%
SA,638516,14.96%,0.25%
WA,440835,10.33%,0.02%
TAS,139523,3.27%,0.00%
NT,7102,0.17%,0.01%
ACT,24649,0.58%,0.39%
TOTAL,4269474,100.00%,0.05%
