STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,3841,145176,227453,223821,179630,181525,961446,32.40%
VIC,4841,42229,62365,51568,41052,40279,242334,10.50%
QLD,4429,81122,80993,61054,38256,30434,296288,16.30%
SA,27445,60957,60792,58648,49083,48850,305775,44.80%
WA,1887,20054,52049,55037,43882,45663,218572,22.70%
TAS,577,5436,15259,16994,14468,15833,68567,33.00%
NT,151,653,1135,1023,623,331,3916,4.60%
ACT,600,2477,3794,3106,2270,2097,14344,9.40%
TOTAL,43771,358104,503840,471251,369264,365012,2111242,23.00%
