STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1229,145032,225042,228174,193930,219960,1013367,35.30%
VIC,1538,30013,43041,39194,32447,34134,180367,8.10%
QLD,1252,88760,89895,65348,40888,35104,321247,18.00%
SA,30433,66181,64260,60971,52518,58275,332638,50.40%
WA,682,17623,51080,54481,45806,51299,220971,22.60%
TAS,180,4794,15393,16748,15484,18357,70956,35.00%
NT,39,338,811,966,643,389,3186,3.40%
ACT,199,1286,2578,2495,1933,1814,10305,6.90%
TOTAL,35552,354027,492100,468377,383649,419332,2153037,24.00%
