financial_year,location_type,time,season,offending_animal_leash_status,incident_type,victim_type,incident_count
2021/22,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2024/25,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2019/20,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Human,1
2019/20,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,1
2023/24,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,1
2020/21,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Human,1
2019/20,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Unknown,2
2018/19,Beach,5 pm to 8 pm,Autumn,On a Leash,Attack,Animal,1
2020/21,Beach,5 pm to 8 pm,Autumn,On a Leash,Attack,Unknown,1
2024/25,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,1
2018/19,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Human,1
2024/25,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Unknown,2
2020/21,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Animal,1
2020/21,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2022/23,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2023/24,Beach,5 pm to 8 pm,Spring,No Leash,Harassment,Human,1
2019/20,Beach,5 pm to 8 pm,Spring,On a Leash,Attack,Animal,1
2022/23,Beach,5 pm to 8 pm,Spring,On a Leash,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Spring,On a Leash,Harassment,Unknown,2
2019/20,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Animal,1
2023/24,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Animal,1
2024/25,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,2
2021/22,Beach,5 pm to 8 pm,Summer,No Leash,Attack,Animal,1
2023/24,Beach,5 pm to 8 pm,Summer,No Leash,Attack,Human,1
2022/23,Beach,5 pm to 8 pm,Summer,No Leash,Harassment,Unknown,1
2022/23,Beach,5 pm to 8 pm,Summer,On a Leash,Attack,Animal,1
2021/22,Beach,5 pm to 8 pm,Summer,On a Leash,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Summer,On a Leash,Harassment,Human,1
2021/22,Beach,5 pm to 8 pm,Summer,Unknown,Attack,Animal,1
2024/25,Beach,5 pm to 8 pm,Summer,Unknown,Attack,Unknown,1
2020/21,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Human,1
2023/24,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Human,1
2022/23,Beach,5 pm to 8 pm,Winter,Unknown,Attack,Unknown,1
2019/20,Beach,6 am to 9 am,Autumn,No Leash,Attack,Animal,2
bef 30 Jun 2018,Beach,6 am to 9 am,Autumn,No Leash,Attack,Animal,1
2020/21,Beach,6 am to 9 am,Autumn,No Leash,Attack,Unknown,1
2022/23,Beach,6 am to 9 am,Autumn,No Leash,Attack,Unknown,1
2023/24,Beach,6 am to 9 am,Autumn,No Leash,Harassment,Animal,1
2024/25,Beach,6 am to 9 am,Autumn,No Leash,Harassment,Human,1
2020/21,Beach,6 am to 9 am,Autumn,Unknown,Attack,Animal,1
2022/23,Beach,6 am to 9 am,Autumn,Unknown,Attack,Animal,1
2020/21,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,1
2021/22,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,1
2024/25,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,1
2023/24,Beach,6 am to 9 am,Autumn,Unknown,Attack,Unknown,1
2024/25,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Animal,1
2023/24,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Human,1
2024/25,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Human,1
2018/19,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,1
2022/23,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,1
2024/25,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,1
2021/22,Beach,6 am to 9 am,Spring,No Leash,Attack,Unknown,1
2024/25,Beach,6 am to 9 am,Spring,On a Leash,Attack,Both,1
2022/23,Beach,6 am to 9 am,Spring,On a Leash,Harassment,Animal,1
2018/19,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,1
2019/20,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,1
2023/24,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,1
2022/23,Beach,6 am to 9 am,Spring,Unknown,Attack,Both,1
2022/23,Beach,6 am to 9 am,Spring,Unknown,Attack,Human,1
2022/23,Beach,6 am to 9 am,Spring,Unknown,Attack,Unknown,1
2021/22,Beach,6 am to 9 am,Spring,Unknown,Harassment,Animal,1
2018/19,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,1
2019/20,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,2
2020/21,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,2
2021/22,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,1
2024/25,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,1
2019/20,Beach,6 am to 9 am,Summer,No Leash,Attack,Human,1
2024/25,Beach,6 am to 9 am,Summer,No Leash,Attack,Human,1
2023/24,Beach,6 am to 9 am,Summer,No Leash,Attack,Unknown,1
2019/20,Beach,6 am to 9 am,Summer,No Leash,Harassment,Animal,1
2020/21,Beach,6 am to 9 am,Summer,No Leash,Harassment,Animal,1
2019/20,Beach,6 am to 9 am,Summer,On a Leash,Attack,Animal,2
2020/21,Beach,6 am to 9 am,Summer,Unknown,Attack,Animal,1
2022/23,Beach,6 am to 9 am,Summer,Unknown,Attack,Animal,1
2018/19,Beach,6 am to 9 am,Summer,Unknown,Attack,Human,1
2023/24,Beach,6 am to 9 am,Summer,Unknown,Attack,Human,1
2024/25,Beach,6 am to 9 am,Summer,Unknown,Harassment,Human,1
2023/24,Beach,6 am to 9 am,Summer,Unknown,Harassment,Unknown,1
2022/23,Beach,6 am to 9 am,Winter,No Leash,Attack,Animal,1
2023/24,Beach,6 am to 9 am,Winter,No Leash,Harassment,Animal,1
2024/25,Beach,6 am to 9 am,Winter,No Leash,Harassment,Animal,1
2020/21,Beach,6 am to 9 am,Winter,No Leash,Harassment,Human,1
2020/21,Beach,6 am to 9 am,Winter,On a Leash,Attack,Human,1
2024/25,Beach,6 am to 9 am,Winter,Unknown,Attack,Animal,1
2021/22,Beach,6 am to 9 am,Winter,Unknown,Attack,Unknown,1
2019/20,Beach,6 am to 9 am,Winter,Unknown,Harassment,Animal,2
2018/19,Beach,6 am to 9 am,Winter,Unknown,Harassment,Human,1
2019/20,Beach,6 am to 9 am,Winter,Unknown,Harassment,Unknown,3
2021/22,Beach,8 pm to 10 pm,Autumn,Unknown,Attack,Animal,1
2019/20,Beach,8 pm to 10 pm,Autumn,Unknown,Attack,Unknown,1
2021/22,Beach,8 pm to 10 pm,Spring,Unknown,Attack,Animal,1
2022/23,Beach,8 pm to 10 pm,Summer,No Leash,Attack,Animal,1
2024/25,Beach,8 pm to 10 pm,Summer,No Leash,Attack,Animal,1
2024/25,Beach,8 pm to 10 pm,Summer,On a Leash,Attack,Animal,1
2018/19,Beach,8 pm to 10 pm,Summer,Unknown,Attack,Animal,1
2018/19,Beach,9 am to Noon,Autumn,No Leash,Attack,Animal,2
2019/20,Beach,9 am to Noon,Autumn,No Leash,Attack,Human,1
2020/21,Beach,9 am to Noon,Autumn,No Leash,Harassment,Human,1
2023/24,Beach,9 am to Noon,Autumn,No Leash,Harassment,Human,1
2021/22,Beach,9 am to Noon,Autumn,No Leash,Harassment,Unknown,1
2021/22,Beach,9 am to Noon,Autumn,On a Leash,Attack,Unknown,1
2023/24,Beach,9 am to Noon,Autumn,Unknown,Attack,Animal,1
2020/21,Beach,9 am to Noon,Autumn,Unknown,Attack,Human,1
2019/20,Beach,9 am to Noon,Autumn,Unknown,Attack,Unknown,1
2020/21,Beach,9 am to Noon,Autumn,Unknown,Harassment,Animal,1
2022/23,Beach,9 am to Noon,Autumn,Unknown,Harassment,Human,1
2020/21,Beach,9 am to Noon,Spring,No Leash,Attack,Animal,1
2021/22,Beach,9 am to Noon,Spring,No Leash,Attack,Animal,1
2023/24,Beach,9 am to Noon,Spring,No Leash,Attack,Animal,1
2020/21,Beach,9 am to Noon,Spring,No Leash,Attack,Unknown,1
2022/23,Beach,9 am to Noon,Spring,No Leash,Attack,Unknown,1
2020/21,Beach,9 am to Noon,Spring,On a Leash,Attack,Animal,2
2022/23,Beach,9 am to Noon,Spring,On a Leash,Attack,Animal,1
2018/19,Beach,9 am to Noon,Spring,Unknown,Attack,Animal,1
2024/25,Beach,9 am to Noon,Spring,Unknown,Attack,Animal,2
2024/25,Beach,9 am to Noon,Spring,Unknown,Attack,Unknown,1
2018/19,Beach,9 am to Noon,Summer,No Leash,Attack,Animal,1
2020/21,Beach,9 am to Noon,Summer,No Leash,Attack,Animal,2
2021/22,Beach,9 am to Noon,Summer,No Leash,Attack,Animal,3
2018/19,Beach,9 am to Noon,Summer,No Leash,Attack,Human,1
2019/20,Beach,9 am to Noon,Summer,No Leash,Attack,Human,2
2021/22,Beach,9 am to Noon,Summer,No Leash,Attack,Unknown,1
2022/23,Beach,9 am to Noon,Summer,No Leash,Attack,Unknown,1
2020/21,Beach,9 am to Noon,Summer,No Leash,Harassment,Animal,1
2020/21,Beach,9 am to Noon,Summer,No Leash,Harassment,Human,1
2019/20,Beach,9 am to Noon,Summer,On a Leash,Attack,Animal,1
2018/19,Beach,9 am to Noon,Summer,On a Leash,Attack,Human,1
2018/19,Beach,9 am to Noon,Summer,Unknown,Attack,Animal,1
2020/21,Beach,9 am to Noon,Summer,Unknown,Attack,Unknown,1
2021/22,Beach,9 am to Noon,Summer,Unknown,Attack,Unknown,2
2024/25,Beach,9 am to Noon,Summer,Unknown,Attack,Unknown,3
2021/22,Beach,9 am to Noon,Summer,Unknown,Harassment,Unknown,1
2024/25,Beach,9 am to Noon,Summer,Unknown,Harassment,Unknown,1
2023/24,Beach,9 am to Noon,Winter,No Leash,Attack,Unknown,1
2018/19,Beach,9 am to Noon,Winter,No Leash,Harassment,Animal,1
2019/20,Beach,9 am to Noon,Winter,No Leash,Harassment,Animal,1
2021/22,Beach,9 am to Noon,Winter,No Leash,Harassment,Animal,1
2018/19,Beach,9 am to Noon,Winter,No Leash,Harassment,Both,2
2018/19,Beach,9 am to Noon,Winter,No Leash,Harassment,Human,1
2019/20,Beach,9 am to Noon,Winter,No Leash,Harassment,Human,1
2020/21,Beach,9 am to Noon,Winter,Unknown,Attack,Animal,1
2024/25,Beach,9 am to Noon,Winter,Unknown,Attack,Unknown,2
2022/23,Beach,9 am to Noon,Winter,Unknown,Harassment,Animal,1
2020/21,Beach,9 am to Noon,Winter,Unknown,Harassment,Human,1
2023/24,Beach,9 am to Noon,Winter,Unknown,Harassment,Unknown,1
2020/21,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Animal,1
2024/25,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Animal,1
2020/21,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Human,1
2021/22,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Human,1
2023/24,Beach,Noon to 5 pm,Autumn,No Leash,Harassment,Human,1
2018/19,Beach,Noon to 5 pm,Autumn,On a Leash,Attack,Animal,1
2019/20,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Animal,1
2020/21,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Animal,1
2018/19,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Human,1
2019/20,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Human,1
2021/22,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Unknown,1
2020/21,Beach,Noon to 5 pm,Autumn,Unknown,Harassment,Human,2
2021/22,Beach,Noon to 5 pm,Autumn,Unknown,Harassment,Unknown,1
2024/25,Beach,Noon to 5 pm,Autumn,Unknown,Harassment,Unknown,1
2020/21,Beach,Noon to 5 pm,Spring,No Leash,Attack,Human,1
2023/24,Beach,Noon to 5 pm,Spring,No Leash,Attack,Unknown,1
2020/21,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Animal,1
2022/23,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Animal,1
2024/25,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Human,1
2021/22,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Unknown,1
2022/23,Beach,Noon to 5 pm,Spring,On a Leash,Attack,Animal,1
2021/22,Beach,Noon to 5 pm,Spring,On a Leash,Attack,Human,1
2024/25,Beach,Noon to 5 pm,Spring,On a Leash,Harassment,Animal,1
2018/19,Beach,Noon to 5 pm,Spring,Unknown,Attack,Animal,1
2019/20,Beach,Noon to 5 pm,Spring,Unknown,Attack,Animal,2
2021/22,Beach,Noon to 5 pm,Spring,Unknown,Attack,Unknown,1
2024/25,Beach,Noon to 5 pm,Spring,Unknown,Harassment,Animal,1
2021/22,Beach,Noon to 5 pm,Spring,Unknown,Harassment,Human,1
2024/25,Beach,Noon to 5 pm,Spring,Unknown,Harassment,Human,1
2024/25,Beach,Noon to 5 pm,Spring,Unknown,Harassment,Unknown,1
2018/19,Beach,Noon to 5 pm,Summer,No Leash,Attack,Human,1
2020/21,Beach,Noon to 5 pm,Summer,No Leash,Attack,Unknown,1
2023/24,Beach,Noon to 5 pm,Summer,No Leash,Attack,Unknown,1
2018/19,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Animal,1
2019/20,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Animal,2
2022/23,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Animal,1
2019/20,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Both,1
2023/24,Beach,Noon to 5 pm,Summer,On a Leash,Harassment,Unknown,1
2019/20,Beach,Noon to 5 pm,Summer,Unknown,Attack,Animal,2
2020/21,Beach,Noon to 5 pm,Summer,Unknown,Attack,Animal,1
2020/21,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,1
2021/22,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,1
2022/23,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,1
2023/24,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,1
2018/19,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Animal,1
2019/20,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Animal,1
2018/19,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Both,1
2021/22,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Unknown,1
2024/25,Beach,Noon to 5 pm,Winter,No Leash,Attack,Animal,1
2020/21,Beach,Noon to 5 pm,Winter,No Leash,Harassment,Human,1
2018/19,Beach,Noon to 5 pm,Winter,On a Leash,Attack,Human,1
2018/19,Beach,Noon to 5 pm,Winter,Unknown,Attack,Animal,1
2023/24,Beach,Noon to 5 pm,Winter,Unknown,Attack,Animal,1
2019/20,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,1
2020/21,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2
2021/22,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2
2022/23,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,1
2023/24,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,1
2019/20,Beach,Noon to 5 pm,Winter,Unknown,Harassment,Animal,1
2024/25,Beach,Unknown,Autumn,No Leash,Harassment,Unknown,1
2020/21,Beach,Unknown,Autumn,On a Leash,Attack,Unknown,1
2023/24,Beach,Unknown,Autumn,On a Leash,Attack,Unknown,1
2019/20,Beach,Unknown,Autumn,Unknown,Attack,Human,1
2018/19,Beach,Unknown,Spring,No Leash,Attack,Animal,1
2020/21,Beach,Unknown,Spring,No Leash,Attack,Animal,1
2020/21,Beach,Unknown,Spring,No Leash,Attack,Unknown,1
2018/19,Beach,Unknown,Spring,Unknown,Harassment,Human,2
2020/21,Beach,Unknown,Spring,Unknown,Harassment,Unknown,1
2018/19,Beach,Unknown,Summer,No Leash,Attack,Animal,1
bef 30 Jun 2018,Beach,Unknown,Summer,On a Leash,Attack,Animal,1
2020/21,Beach,Unknown,Summer,Unknown,Attack,Unknown,1
2021/22,Beach,Unknown,Summer,Unknown,Attack,Unknown,1
2023/24,Beach,Unknown,Summer,Unknown,Attack,Unknown,1
2018/19,Beach,Unknown,Summer,Unknown,Harassment,Human,2
2018/19,Beach,Unknown,Winter,No Leash,Attack,Animal,1
2021/22,Beach,Unknown,Winter,Unknown,Harassment,Human,1
2018/19,Beach,Unknown,Winter,Unknown,Harassment,Unknown,1
2023/24,Beach,Unknown,Winter,Unknown,Harassment,Unknown,1
bef 30 Jun 2018,Beach,Unknown,Winter,Unknown,Harassment,Unknown,1
2024/25,Commercial property,5 pm to 8 pm,Autumn,No Leash,Attack,Human,1
2022/23,Commercial property,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2019/20,Commercial property,5 pm to 8 pm,Summer,No Leash,Harassment,Animal,1
2020/21,Commercial property,5 pm to 8 pm,Summer,Unknown,Attack,Human,1
2024/25,Commercial property,5 pm to 8 pm,Winter,No Leash,Attack,Animal,1
2021/22,Commercial property,5 pm to 8 pm,Winter,No Leash,Attack,Human,1
2018/19,Commercial property,5 pm to 8 pm,Winter,On a Leash,Attack,Human,1
2021/22,Commercial property,5 pm to 8 pm,Winter,Unknown,Attack,Animal,2
2022/23,Commercial property,5 pm to 8 pm,Winter,Unknown,Attack,Human,1
2019/20,Commercial property,6 am to 9 am,Autumn,Unknown,Attack,Human,1
bef 30 Jun 2018,Commercial property,6 am to 9 am,Spring,No Leash,Attack,Human,1
2022/23,Commercial property,6 am to 9 am,Spring,Unknown,Attack,Animal,1
2023/24,Commercial property,6 am to 9 am,Spring,Unknown,Attack,Human,1
2024/25,Commercial property,6 am to 9 am,Spring,Unknown,Attack,Unknown,1
2024/25,Commercial property,6 am to 9 am,Summer,On a Leash,Attack,Animal,1
2021/22,Commercial property,8 pm to 10 pm,Spring,Unknown,Attack,Human,1
2023/24,Commercial property,9 am to Noon,Autumn,No Leash,Attack,Unknown,1
bef 30 Jun 2018,Commercial property,9 am to Noon,Autumn,No Leash,Attack,Unknown,1
2021/22,Commercial property,9 am to Noon,Autumn,On a Leash,Attack,Human,1
2020/21,Commercial property,9 am to Noon,Spring,No Leash,Attack,Animal,1
2020/21,Commercial property,9 am to Noon,Spring,No Leash,Harassment,Human,1
2020/21,Commercial property,9 am to Noon,Spring,On a Leash,Attack,Animal,2
2023/24,Commercial property,9 am to Noon,Spring,On a Leash,Attack,Human,1
2021/22,Commercial property,9 am to Noon,Spring,Unknown,Attack,Unknown,1
2020/21,Commercial property,9 am to Noon,Summer,No Leash,Attack,Human,1
2019/20,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Animal,1
2021/22,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Human,1
2024/25,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Human,1
2020/21,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Unknown,2
2020/21,Commercial property,9 am to Noon,Summer,Unknown,Attack,Animal,1
2018/19,Commercial property,9 am to Noon,Summer,Unknown,Attack,Human,1
2020/21,Commercial property,9 am to Noon,Summer,Unknown,Attack,Human,1
2023/24,Commercial property,9 am to Noon,Summer,Unknown,Attack,Human,1
2021/22,Commercial property,9 am to Noon,Winter,No Leash,Attack,Animal,1
2020/21,Commercial property,9 am to Noon,Winter,No Leash,Attack,Human,1
2020/21,Commercial property,9 am to Noon,Winter,No Leash,Harassment,Unknown,1
2019/20,Commercial property,9 am to Noon,Winter,On a Leash,Attack,Human,1
2020/21,Commercial property,9 am to Noon,Winter,On a Leash,Attack,Human,1
2024/25,Commercial property,9 am to Noon,Winter,On a Leash,Attack,Human,1
2019/20,Commercial property,9 am to Noon,Winter,Unknown,Attack,Human,1
2022/23,Commercial property,Noon to 5 pm,Autumn,No Leash,Attack,Human,1
2020/21,Commercial property,Noon to 5 pm,Autumn,On a Leash,Attack,Human,3
2022/23,Commercial property,Noon to 5 pm,Autumn,On a Leash,Attack,Unknown,1
2019/20,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Human,2
2023/24,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Human,2
2021/22,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Unknown,1
2022/23,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Unknown,1
2019/20,Commercial property,Noon to 5 pm,Spring,No Leash,Attack,Animal,2
2018/19,Commercial property,Noon to 5 pm,Spring,No Leash,Attack,Human,1
2024/25,Commercial property,Noon to 5 pm,Spring,No Leash,Attack,Human,1
2024/25,Commercial property,Noon to 5 pm,Spring,On a Leash,Attack,Animal,1
2021/22,Commercial property,Noon to 5 pm,Spring,Unknown,Attack,Human,1
2024/25,Commercial property,Noon to 5 pm,Spring,Unknown,Attack,Unknown,2
bef 30 Jun 2018,Commercial property,Noon to 5 pm,Spring,Unknown,Attack,Unknown,1
2023/24,Commercial property,Noon to 5 pm,Spring,Unknown,Harassment,Animal,1
2023/24,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Animal,1
2018/19,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Human,1
2019/20,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Human,1
2020/21,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Human,3
2019/20,Commercial property,Noon to 5 pm,Summer,On a Leash,Harassment,Animal,1
2021/22,Commercial property,Noon to 5 pm,Summer,Unknown,Attack,Human,1
2021/22,Commercial property,Noon to 5 pm,Summer,Unknown,Attack,Unknown,1
2024/25,Commercial property,Noon to 5 pm,Summer,Unknown,Attack,Unknown,1
2019/20,Commercial property,Noon to 5 pm,Summer,Unknown,Harassment,Human,1
2018/19,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Human,1
2021/22,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Human,1
2024/25,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Human,1
2021/22,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Unknown,2
2019/20,Commercial property,Noon to 5 pm,Winter,On a Leash,Attack,Animal,1
2023/24,Commercial property,Noon to 5 pm,Winter,On a Leash,Attack,Unknown,1
2020/21,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Animal,1
2022/23,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Animal,1
2018/19,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Human,1
2021/22,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Human,1
2022/23,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Human,1
2021/22,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Unknown,1
2023/24,Commercial property,Noon to 5 pm,Winter,Unknown,Harassment,Unknown,1
2020/21,Commercial property,Unknown,Autumn,No Leash,Attack,Animal,1
2021/22,Commercial property,Unknown,Autumn,On a Leash,Attack,Human,1
2020/21,Commercial property,Unknown,Autumn,Unknown,Attack,Animal,2
2024/25,Commercial property,Unknown,Autumn,Unknown,Attack,Unknown,1
2022/23,Commercial property,Unknown,Autumn,Unknown,Harassment,Unknown,1
2023/24,Commercial property,Unknown,Autumn,Unknown,Harassment,Unknown,1
2021/22,Commercial property,Unknown,Spring,No Leash,Attack,Human,1
2024/25,Commercial property,Unknown,Spring,No Leash,Attack,Unknown,1
2020/21,Commercial property,Unknown,Spring,Unknown,Attack,Animal,1
2023/24,Commercial property,Unknown,Spring,Unknown,Attack,Human,1
2024/25,Commercial property,Unknown,Spring,Unknown,Attack,Human,1
2020/21,Commercial property,Unknown,Summer,No Leash,Attack,Animal,1
2019/20,Commercial property,Unknown,Summer,No Leash,Attack,Unknown,1
2020/21,Commercial property,Unknown,Summer,Unknown,Attack,Animal,1
2020/21,Commercial property,Unknown,Summer,Unknown,Attack,Unknown,1
2023/24,Commercial property,Unknown,Summer,Unknown,Attack,Unknown,2
2021/22,Commercial property,Unknown,Winter,No Leash,Attack,Unknown,1
2020/21,Commercial property,Unknown,Winter,Unknown,Attack,Animal,1
2018/19,Commercial property,Unknown,Winter,Unknown,Attack,Unknown,1
2020/21,Commercial property,Unknown,Winter,Unknown,Harassment,Unknown,1
2020/21,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2022/23,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2024/25,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2020/21,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Human,1
2021/22,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Unknown,1
2024/25,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Unknown,1
2023/24,Dog Park,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,1
2024/25,Dog Park,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,1
2022/23,Dog Park,5 pm to 8 pm,Autumn,On a Leash,Attack,Animal,1
2019/20,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,1
2020/21,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,2
2022/23,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,1
2021/22,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Human,1
2024/25,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Unknown,1
2021/22,Dog Park,5 pm to 8 pm,Autumn,Unknown,Harassment,Animal,1
2020/21,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Animal,2
2021/22,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Animal,1
2018/19,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2019/20,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2024/25,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2018/19,Dog Park,5 pm to 8 pm,Spring,No Leash,Harassment,Human,1
2023/24,Dog Park,5 pm to 8 pm,Spring,On a Leash,Attack,Animal,1
2020/21,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Animal,1
2023/24,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Animal,1
2024/25,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Animal,2
2023/24,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Unknown,1
2024/25,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Unknown,1
2020/21,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Animal,1
2022/23,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Animal,1
2020/21,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,2
2022/23,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,1
2024/25,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,1
2022/23,Dog Park,5 pm to 8 pm,Summer,No Leash,Attack,Animal,2
2021/22,Dog Park,5 pm to 8 pm,Summer,No Leash,Attack,Human,2
2024/25,Dog Park,5 pm to 8 pm,Summer,No Leash,Attack,Human,2
2020/21,Dog Park,5 pm to 8 pm,Summer,No Leash,Harassment,Animal,1
2022/23,Dog Park,5 pm to 8 pm,Summer,No Leash,Harassment,Animal,1
2020/21,Dog Park,5 pm to 8 pm,Summer,Unknown,Attack,Animal,1
