edition,extract_date,council,animal_species,gender,registration_status,microchipped,desexed,count
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Female,Registered,No,No,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Female,Registered,Yes,No,33
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Female,Registered,Yes,Yes,209
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Female,Unregistered,No,No,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Female,Unregistered,Yes,No,10
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Female,Unregistered,Yes,Yes,29
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Male,Registered,No,No,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Male,Registered,No,Yes,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Male,Registered,Yes,No,33
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Male,Registered,Yes,Yes,217
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Male,Unregistered,Yes,No,12
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Cat,Male,Unregistered,Yes,Yes,31
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Registered,No,No,7
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Registered,No,Yes,6
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Registered,Yes,No,109
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Registered,Yes,Yes,428
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Unregistered,No,Yes,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Unregistered,Yes,No,7
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Female,Unregistered,Yes,Yes,17
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Registered,No,No,7
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Registered,No,Yes,6
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Registered,Yes,No,108
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Registered,Yes,Yes,500
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,No,No,4
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,No,Yes,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,Yes,No,11
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,Yes,Yes,18
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,No,No,5
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,No,Yes,8
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,Yes,No,71
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,Yes,Yes,574
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Female,Unregistered,Yes,No,18
