edition,extract_date,council,rank,breed
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,1,Labrador Retriever
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,2,Schnauzer (Miniature)
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,3,Maltese/Shih Tzu
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,4,Greyhound
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,5,Jack Russell Terrier
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,1,Border Collie
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,2,Labrador Retriever
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,3,Australian Kelpie
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,4,Golden Retriever
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,5,Jack Russell Terrier
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,1,Greyhound
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,2,Australian Kelpie
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,3,German Shepherd Dog
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,4,Border Collie
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,5,Australian Cattle Dog
2021-22,2022-05-30,ALEXANDRINA COUNCIL,1,Border Collie
2021-22,2022-05-30,ALEXANDRINA COUNCIL,2,Australian Kelpie
2021-22,2022-05-30,ALEXANDRINA COUNCIL,3,Labrador Retriever
2021-22,2022-05-30,ALEXANDRINA COUNCIL,4,Maltese/Cross Breed
2021-22,2022-05-30,ALEXANDRINA COUNCIL,5,Jack Russell Terrier
2021-22,2022-05-30,BARUNGA WEST COUNCIL,1,Border Collie
2021-22,2022-05-30,BARUNGA WEST COUNCIL,2,Australian Kelpie
2021-22,2022-05-30,BARUNGA WEST COUNCIL,3,Maltese
2021-22,2022-05-30,BARUNGA WEST COUNCIL,4,Jack Russell Terrier
2021-22,2022-05-30,BARUNGA WEST COUNCIL,5,Labrador Retriever
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,1,Maltese/Cross Breed
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,2,Labrador Retriever
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,3,Border Collie
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,4,Poodle (Toy)
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,5,Cavalier King Charles Spaniel/Poodle (Toy)
2021-22,2022-05-30,CITY OF BURNSIDE,1,Labrador Retriever
2021-22,2022-05-30,CITY OF BURNSIDE,2,Border Collie
2021-22,2022-05-30,CITY OF BURNSIDE,3,Maltese/Cross Breed
2021-22,2022-05-30,CITY OF BURNSIDE,4,Golden Retriever
2021-22,2022-05-30,CITY OF BURNSIDE,5,Cavalier King Charles Spaniel/Cross Breed
2021-22,2022-05-30,CITY OF CHARLES STURT,1,Maltese/Shih Tzu
2021-22,2022-05-30,CITY OF CHARLES STURT,2,Labrador Retriever
2021-22,2022-05-30,CITY OF CHARLES STURT,3,Staffordshire Bull Terrier
2021-22,2022-05-30,CITY OF CHARLES STURT,4,Border Collie
2021-22,2022-05-30,CITY OF CHARLES STURT,5,American Staffordshire Terrier
2021-22,2022-05-30,CITY OF HOLDFAST BAY,1,Labrador Retriever
2021-22,2022-05-30,CITY OF HOLDFAST BAY,2,Border Collie
2021-22,2022-05-30,CITY OF HOLDFAST BAY,3,Golden Retriever
2021-22,2022-05-30,CITY OF HOLDFAST BAY,4,Poodle
2021-22,2022-05-30,CITY OF HOLDFAST BAY,5,Staffordshire Bull Terrier
2021-22,2022-05-30,CITY OF MARION,1,Border Collie
2021-22,2022-05-30,CITY OF MARION,2,Maltese/Shih Tzu
2021-22,2022-05-30,CITY OF MARION,3,Labrador Retriever
2021-22,2022-05-30,CITY OF MARION,4,Golden Retriever
2021-22,2022-05-30,CITY OF MARION,5,Staffordshire Bull Terrier
2021-22,2022-05-30,CITY OF MITCHAM,1,Labrador Retriever
2021-22,2022-05-30,CITY OF MITCHAM,2,Border Collie
2021-22,2022-05-30,CITY OF MITCHAM,3,Maltese
