STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1999099,46.97%,-0.04%
VIC,431765,10.14%,-0.07%
QLD,619011,14.54%,0.00%
SA,587181,13.80%,0.34%
WA,444922,10.45%,-0.05%
TAS,142436,3.35%,-0.07%
NT,7214,0.17%,-0.24%
ACT,24337,0.57%,-0.14%
TOTAL,4255965,100.00%,0.01%
